A.J. Green,MIN,"$1,055,000",AGreenMIN
Aaron Jones,MIN,"$3,500,000",AJonesMIN
Abraham Beauplan,MIN,"$795,000",ABeauplanMIN
Akayleb Evans,MIN,"$1,175,269",AEvansMIN
Andre Carter II,MIN,"$928,333",ACarterMIN
Andrew Booth Jr.,MIN,"$2,265,226",ABoothMIN
Andrew DePaola,MIN,"$1,341,666",ADePaolaMIN
Andrew Van Ginkel,MIN,"$3,400,000",AVanMIN
Blake Brandel,MIN,"$1,916,666",BBrandelMIN
Blake Cashman,MIN,"$3,186,765",BCashmanMIN
Bo Richter,MIN,"$796,666",BRichterMIN
Brandon Powell,MIN,"$2,000,000",BPowellMIN
Brian Asamoah,MIN,"$1,496,412",BAsamoahMIN
Brian O'Neill,MIN,"$22,930,876",BO'NeillMIN
Byron Murphy,MIN,"$10,911,765",BMurphyMIN
C.J. Ham,MIN,"$3,266,666",CHamMIN
Camryn Bynum,MIN,"$3,295,453",CBynumMIN
Christian Darrisaw,MIN,"$4,246,501",CDarrisawMIN
Dallas Gant,MIN,"$796,666",DGantMIN
Dallas Turner,MIN,"$795,000",DTurnerMIN
Dalton Risner,MIN,"$2,410,000",DRisnerMIN
Dan Feeney,MIN,"$1,800,000",DFeeneyMIN
David Quessenberry,MIN,"$1,800,000",DQuessenberryMIN
DeWayne McBride,MIN,"$795,000",DMcBrideMIN
Doug Nester,MIN,"$798,333",DNesterMIN
Dwight McGlothern,MIN,"$798,333",DMcGlothernMIN
Ed Ingram,MIN,"$1,635,811",EIngramMIN
Gabriel Murphy,MIN,"$801,666",GMurphyMIN
Garrett Bradbury,MIN,"$5,769,882",GBradburyMIN
Harrison Phillips,MIN,"$8,833,334",HPhillipsMIN
Harrison Smith,MIN,"$7,315,882",HSmithMIN
Henry Byrd,MIN,"$795,000",HByrdMIN
Ivan Pace Jr.,MIN,"$921,666",IPaceMIN
J.J. McCarthy,MIN,"$795,000",JMcCarthyMIN
Jalen Nailor,MIN,"$1,030,165",JNailorMIN
Jalen Redmond,MIN,"$795,000",JRedmondMIN
James Lynch,MIN,"$1,055,000",JLynchMIN
Jaquelin Roy,MIN,"$999,943",JRoyMIN
Jaren Hall,MIN,"$984,818",JHallMIN
Jay Ward,MIN,"$1,078,386",JWardMIN
Jaylin Williams,MIN,"$915,000",JWilliamsMIN
Jeremy Flax,MIN,"$798,333",JFlaxMIN
Jerry Tillery,MIN,"$2,750,000",JTilleryMIN
Jeshaun Jones,MIN,"$798,333",JJonesMIN
Jihad Ward,MIN,"$1,790,000",JWardMIN
John Parker Romo,MIN,"$805,000",JParkerMIN
Johnny Mundt,MIN,"$2,000,000",JMundtMIN
Jonah Williams,MIN,"$1,500,000",JWilliamsMIN
Jonathan Bullard,MIN,"$2,250,000",JBullardMIN
Jonathan Greenard,MIN,"$5,740,000",JGreenardMIN
Jordan Addison,MIN,"$3,120,849",JAddisonMIN
Josh Metellus,MIN,"$3,725,000",JMetellusMIN
Josh Oliver,MIN,"$6,174,000",JOliverMIN
Justin Jefferson,MIN,"$8,612,600",JJeffersonMIN
K.J. Cloyd,MIN,"$795,666",KCloydMIN
Kamu Grugier-Hill,MIN,"$1,152,500",KGrugier-HillMIN
Kene Nwangwu,MIN,"$1,243,199",KNwangwuMIN
Khyree Jackson,MIN,"$1,001,787",KJacksonMIN
Levi Drake Rodriguez,MIN,"$821,497",LDrakeMIN
Lewis Cine,MIN,"$3,134,770",LCineMIN
Lucky Jackson,MIN,"$915,000",LJacksonMIN
Malik Knowles,MIN,"$800,000",MKnowlesMIN
Mekhi Blackmon,MIN,"$1,205,473",MBlackmonMIN
Michael Jurgens,MIN,"$822,185",MJurgensMIN
Myles Gaskin,MIN,"$985,000",MGaskinMIN
N'Keal Harry,MIN,"$985,000",NHarryMIN
NaJee Thompson,MIN,"$915,000",NThompsonMIN
Nick Mullens,MIN,"$2,230,000",NMullensMIN
Nick Muse,MIN,"$985,000",NMuseMIN
Owen Porter,MIN,"$798,333",OPorterMIN
Patrick Jones II,MIN,"$1,549,576",PJonesMIN
Robert Tonyan,MIN,"$985,000",RTonyanMIN
Ryan Wright,MIN,"$986,668",RWrightMIN
Sam Darnold,MIN,"$5,000,000",SDarnoldMIN
Sammis Reyes,MIN,"$915,000",SReyesMIN
Seth Vernon,MIN,"$795,000",SVernonMIN
Shaquill Griffin,MIN,"$4,430,000",SGriffinMIN
Spencer Rolland,MIN,"$795,666",SRollandMIN
T.J. Hockenson,MIN,"$14,041,176",THockensonMIN
Taki Taimani,MIN,"$796,666",TTaimaniMIN
Thayer Thomas,MIN,"$795,000",TThomasMIN
Theo Jackson,MIN,"$985,000",TJacksonMIN
Trent Sherfield,MIN,"$1,790,000",TSherfieldMIN
Trey Knox,MIN,"$798,333",TKnoxMIN
Trishton Jackson,MIN,"$985,000",TJacksonMIN
Ty Chandler,MIN,"$1,059,711",TChandlerMIN
Ty James,MIN,"$795,000",TJamesMIN
Tyler Manoa,MIN,"$798,333",TManoaMIN
Tyrese Robinson,MIN,"$795,000",TRobinsonMIN
Walter Rouse,MIN,"$851,648",WRouseMIN
Will Reichard,MIN,"$837,655",WReichardMIN
