A.J. Green,MIN,"$1,055,000"
Aaron Jones,MIN,"$3,500,000"
Abraham Beauplan,MIN,"$795,000"
Akayleb Evans,MIN,"$1,175,269"
Andre Carter II,MIN,"$928,333"
Andrew Booth Jr.,MIN,"$2,265,226"
Andrew DePaola,MIN,"$1,341,666"
Andrew Van Ginkel,MIN,"$3,400,000"
Blake Brandel,MIN,"$1,916,666"
Blake Cashman,MIN,"$3,186,765"
Bo Richter,MIN,"$796,666"
Brandon Powell,MIN,"$2,000,000"
Brian Asamoah,MIN,"$1,496,412"
Brian O'Neill,MIN,"$22,930,876"
Byron Murphy,MIN,"$10,911,765"
C.J. Ham,MIN,"$3,266,666"
Camryn Bynum,MIN,"$3,295,453"
Christian Darrisaw,MIN,"$4,246,501"
Dallas Gant,MIN,"$796,666"
Dallas Turner,MIN,"$795,000"
Dalton Risner,MIN,"$2,410,000"
Dan Feeney,MIN,"$1,800,000"
David Quessenberry,MIN,"$1,800,000"
DeWayne McBride,MIN,"$795,000"
Doug Nester,MIN,"$798,333"
Dwight McGlothern,MIN,"$798,333"
Ed Ingram,MIN,"$1,635,811"
Gabriel Murphy,MIN,"$801,666"
Garrett Bradbury,MIN,"$5,769,882"
Harrison Phillips,MIN,"$8,833,334"
Harrison Smith,MIN,"$7,315,882"
Henry Byrd,MIN,"$795,000"
Ivan Pace Jr.,MIN,"$921,666"
J.J. McCarthy,MIN,"$795,000"
Jalen Nailor,MIN,"$1,030,165"
Jalen Redmond,MIN,"$795,000"
James Lynch,MIN,"$1,055,000"
Jaquelin Roy,MIN,"$999,943"
Jaren Hall,MIN,"$984,818"
Jay Ward,MIN,"$1,078,386"
Jaylin Williams,MIN,"$915,000"
Jeremy Flax,MIN,"$798,333"
Jerry Tillery,MIN,"$2,750,000"
Jeshaun Jones,MIN,"$798,333"
Jihad Ward,MIN,"$1,790,000"
John Parker Romo,MIN,"$805,000"
Johnny Mundt,MIN,"$2,000,000"
Jonah Williams,MIN,"$1,500,000"
Jonathan Bullard,MIN,"$2,250,000"
Jonathan Greenard,MIN,"$5,740,000"
Jordan Addison,MIN,"$3,120,849"
Josh Metellus,MIN,"$3,725,000"
Josh Oliver,MIN,"$6,174,000"
Justin Jefferson,MIN,"$8,612,600"
K.J. Cloyd,MIN,"$795,666"
Kamu Grugier-Hill,MIN,"$1,152,500"
Kene Nwangwu,MIN,"$1,243,199"
Khyree Jackson,MIN,"$1,001,787"
Levi Drake Rodriguez,MIN,"$821,497"
Lewis Cine,MIN,"$3,134,770"
Lucky Jackson,MIN,"$915,000"
Malik Knowles,MIN,"$800,000"
Mekhi Blackmon,MIN,"$1,205,473"
Michael Jurgens,MIN,"$822,185"
Myles Gaskin,MIN,"$985,000"
N'Keal Harry,MIN,"$985,000"
NaJee Thompson,MIN,"$915,000"
Nick Mullens,MIN,"$2,230,000"
Nick Muse,MIN,"$985,000"
Owen Porter,MIN,"$798,333"
Patrick Jones II,MIN,"$1,549,576"
Robert Tonyan,MIN,"$985,000"
Ryan Wright,MIN,"$986,668"
Sam Darnold,MIN,"$5,000,000"
Sammis Reyes,MIN,"$915,000"
Seth Vernon,MIN,"$795,000"
Shaquill Griffin,MIN,"$4,430,000"
Spencer Rolland,MIN,"$795,666"
T.J. Hockenson,MIN,"$14,041,176"
Taki Taimani,MIN,"$796,666"
Thayer Thomas,MIN,"$795,000"
Theo Jackson,MIN,"$985,000"
Trent Sherfield,MIN,"$1,790,000"
Trey Knox,MIN,"$798,333"
Trishton Jackson,MIN,"$985,000"
Ty Chandler,MIN,"$1,059,711"
Ty James,MIN,"$795,000"
Tyler Manoa,MIN,"$798,333"
Tyrese Robinson,MIN,"$795,000"
Walter Rouse,MIN,"$851,648"
Will Reichard,MIN,"$837,655"
