Alex Austin,NE,"$915,000",AAustinNE
Anfernee Jennings,NE,"$3,561,765",AJenningsNE
Antonio Gibson,NE,"$3,220,000",AGibsonNE
Armon Watts,NE,"$2,160,000",AWattsNE
Atonio Mafi,NE,"$998,885",AMafiNE
Austin Hooper,NE,"$3,125,000",AHooperNE
Azizi Hearn,NE,"$795,000",AHearnNE
Bailey Zappe,NE,"$985,000",BZappeNE
Brenden Schooler,NE,"$990,000",BSchoolerNE
Bryce Baringer,NE,"$959,614",BBaringerNE
Caedan Wallace,NE,"$1,098,782",CWallaceNE
Calvin Anderson,NE,"$2,605,000",CAndersonNE
Chad Ryland,NE,"$1,111,687",CRylandNE
Charles Turner,NE,"$800,000",CTurnerNE
Christian Barmore,NE,"$6,311,631",CBarmoreNE
Christian Elliss,NE,"$985,000",CEllissNE
Christian Gonzalez,NE,"$3,432,470",CGonzalezNE
Chukwuma Okorafor,NE,"$4,000,000",COkoraforNE
Cole Strange,NE,"$3,342,538",CStrangeNE
Daniel Ekuale,NE,"$1,680,000",DEkualeNE
David Andrews,NE,"$6,675,000",DAndrewsNE
David Wallis,NE,"$795,000",DWallisNE
Davon Godchaux,NE,"$11,800,000",DGodchauxNE
Deatrich Wise,NE,"$7,641,176",DWiseNE
Dell Pettus,NE,"$798,000",DPettusNE
Demario Douglas,NE,"$948,333",DDouglasNE
Deshaun Fenwick,NE,"$796,666",DFenwickNE
Drake Maye,NE,"$6,661,775",DMayeNE
Hunter Henry,NE,"$5,323,529",HHenryNE
Isaiah Bolden,NE,"$815,421",IBoldenNE
Ja'Lynn Polk,NE,"$1,762,681",JPolkNE
Ja'Whaun Bentley,NE,"$6,273,333",JBentleyNE
JaMycal Hasty,NE,"$1,367,059",JHastyNE
JaQuae Jackson,NE,"$795,000",JJacksonNE
Jabrill Peppers,NE,"$6,470,000",JPeppersNE
Jacob Warren,NE,"$798,333",JWarrenNE
Jacoby Brissett,NE,"$7,882,353",JBrissettNE
Jaheim Bell,NE,"$821,648",JBellNE
Jahlani Tavai,NE,"$3,452,084",JTavaiNE
Jake Andrews,NE,"$1,117,086",JAndrewsNE
Jalen Reagor,NE,"$1,292,500",JReagorNE
Javon Baker,NE,"$999,149",JBakerNE
Jaylinn Hawkins,NE,"$1,152,500",JHawkinsNE
Jeremiah Pharms,NE,"$915,000",JPharmsNE
Joe Cardona,NE,"$1,553,000",JCardonaNE
Joe Giles-Harris,NE,"$985,000",JGiles-HarrisNE
Joe Milton III,NE,"$840,829",JMiltonNE
Joey Slye,NE,"$1,127,500",JSlyeNE
John Morgan,NE,"$798,333",JMorganNE
Jonathan Jones,NE,"$12,573,529",JJonesNE
Jontrey Hunter,NE,"$800,000",JHunterNE
Josh Uche,NE,"$2,940,000",JUcheNE
Joshuah Bledsoe,NE,"$915,000",JBledsoeNE
Jotham Russell,NE,"$795,000",JRussellNE
JuJu Smith-Schuster,NE,"$10,280,392",JSmith-SchusterNE
K.J. Osborn,NE,"$3,960,000",KOsbornNE
Kaleb Ford-Dement,NE,"$797,500",KFord-DementNE
Kawaan Baker,NE,"$795,000",KBakerNE
Kayshon Boutte,NE,"$961,818",KBoutteNE
Keion White,NE,"$1,770,493",KWhiteNE
Kendrick Bourne,NE,"$3,250,000",KBourneNE
Kevin Harris,NE,"$985,000",KHarrisNE
Kyle Dugger,NE,"$7,500,000",KDuggerNE
La'Michael Pettway,NE,"$795,000",LPettwayNE
Layden Robinson,NE,"$1,008,018",LRobinsonNE
Liam Fornadel,NE,"$795,000",LFornadelNE
Marcellas Dial,NE,"$848,032",MDialNE
Marco Wilson,NE,"$2,616,000",MWilsonNE
Marcus Jones,NE,"$1,411,896",MJonesNE
Marte Mapu,NE,"$1,264,479",MMapuNE
Matt Judon,NE,"$14,675,850",MJudonNE
Michael Jordan,NE,"$985,000",MJordanNE
Michael Onwenu,NE,"$10,941,176",MOnwenuNE
Mikey Victor,NE,"$796,000",MVictorNE
Mitchell Wilcox,NE,"$1,075,000",MWilcoxNE
Nick Leverett,NE,"$1,775,000",NLeverettNE
Oshane Ximines,NE,"$985,000",OXiminesNE
Raekwon McMillan,NE,"$1,275,000",RMcMillanNE
Rhamondre Stevenson,NE,"$4,903,265",RStevensonNE
Sam Roberts,NE,"$1,027,869",SRobertsNE
Shaun Wade,NE,"$1,055,000",SWadeNE
Sidy Sow,NE,"$1,106,029",SSowNE
Sione Takitaki,NE,"$3,355,000",STakitakiNE
Steele Chambers,NE,"$795,000",SChambersNE
Terrell Jennings,NE,"$795,000",TJenningsNE
Trysten Hill,NE,"$985,000",THillNE
Tyquan Thornton,NE,"$1,923,780",TThorntonNE
Tyrone Wheatley Jr.,NE,"$915,000",TWheatleyNE
Vederian Lowe,NE,"$985,000",VLoweNE
William Bradley-King,NE,"$915,000",WBradley-KingNE
Zuri Henry,NE,"$798,333",ZHenryNE
