A.T. Perry,NO,"$959,091",APerryNO
Adam Prentice,NO,"$1,130,000",APrenticeNO
Alontae Taylor,NO,"$1,964,917",ATaylorNO
Alvin Kamara,NO,"$18,553,824",AKamaraNO
Anfernee Orji,NO,"$795,000",AOrjiNO
Blake Grupe,NO,"$915,833",BGrupeNO
Bryan Bresee,NO,"$2,787,171",BBreseeNO
Bub Means,NO,"$858,569",BMeansNO
Cameron Jordan,NO,"$13,852,250",CJordanNO
Carl Granderson,NO,"$5,250,000",CGrandersonNO
Cedrick Wilson Jr.,NO,"$1,850,000",CWilsonNO
Cesar Ruiz,NO,"$4,450,000",CRuizNO
Charlie Smyth,NO,"$795,000",CSmythNO
Chase Young,NO,"$3,442,000",CYoungNO
Chris Olave,NO,"$5,255,965",COlaveNO
D'Marco Jackson,NO,"$1,064,229",DJacksonNO
Dallin Holker,NO,"$798,333",DHolkerNO
Demario Davis,NO,"$9,033,000",DDavisNO
Derek Carr,NO,"$12,668,000",DCarrNO
Equanimeous St. Brown,NO,"$985,000",ESt.NO
Erik McCoy,NO,"$6,520,000",EMcCoyNO
Foster Moreau,NO,"$4,367,059",FMoreauNO
Isaiah Foskey,NO,"$1,985,164",IFoskeyNO
Isaiah Stalbird,NO,"$798,333",IStalbirdNO
J.T. Gray,NO,"$3,480,000",JGrayNO
Jack Heflin,NO,"$915,000",JHeflinNO
Jacob Kibodi,NO,"$797,000",JKibodiNO
Jake Haener,NO,"$1,076,520",JHaenerNO
Jamaal Williams,NO,"$4,630,000",JWilliamsNO
James Robinson,NO,"$1,055,000",JRobinsonNO
Jaylan Ford,NO,"$858,569",JFordNO
Jermaine Jackson,NO,"$798,333",JJacksonNO
Jesper Horsted,NO,"$985,000",JHorstedNO
Johnathan Abram,NO,"$1,065,000",JAbramNO
Jordan Howden,NO,"$996,682",JHowdenNO
Jordan Mims,NO,"$795,000",JMimsNO
Josiah Ezirim,NO,"$819,604",JEzirimNO
Justin Herron,NO,"$985,000",JHerronNO
Juwan Johnson,NO,"$7,000,000",JJohnsonNO
Kendal Vickers,NO,"$1,055,000",KVickersNO
Kendre Miller,NO,"$1,285,071",KMillerNO
Khaleke Hudson,NO,"$1,152,500",KHudsonNO
Khalen Saunders,NO,"$4,400,000",KSaundersNO
Khristian Boyd,NO,"$839,707",KBoydNO
Kool-Aid McKinstry,NO,"$1,664,929",KMcKinstryNO
Kyle Hergel,NO,"$798,333",KHergelNO
Kyler Baugh,NO,"$798,333",KBaughNO
Landon Young,NO,"$1,097,445",LYoungNO
Lawrence Johnson,NO,"$796,666",LJohnsonNO
Lou Hedley,NO,"$916,666",LHedleyNO
Lucas Patrick,NO,"$1,152,500",LPatrickNO
Mac McCain III,NO,"$915,000",MMcCainNO
Mark Evans II,NO,"$795,000",MEvansNO
Marshon Lattimore,NO,"$14,616,317",MLattimoreNO
Mason Tipton,NO,"$798,333",MTiptonNO
Matthew Hayball,NO,"$798,333",MHayballNO
Michael Jacobson,NO,"$795,000",MJacobsonNO
Millard Bradford,NO,"$798,333",MBradfordNO
Monty Rice,NO,"$1,321,209",MRiceNO
Nathan Peterman,NO,"$1,152,500",NPetermanNO
Nathan Shepherd,NO,"$2,820,000",NShepherdNO
Nephi Sewell,NO,"$985,000",NSewellNO
Nick Saldiveri,NO,"$1,188,570",NSaldiveriNO
Niko Lalos,NO,"$915,000",NLalosNO
Nouri Nouili,NO,"$796,666",NNouiliNO
Olisaemeka Udoh,NO,"$2,000,000",OUdohNO
Paulson Adebo,NO,"$3,623,274",PAdeboNO
Payton Turner,NO,"$3,985,143",PTurnerNO
Pete Werner,NO,"$1,808,763",PWernerNO
Rashid Shaheed,NO,"$985,000",RShaheedNO
Rejzohn Wright,NO,"$795,000",RWrightNO
Rico Payton,NO,"$800,000",RPaytonNO
Roderic Teamer,NO,"$985,000",RTeamerNO
Ryan Ramczyk,NO,"$12,293,321",RRamczykNO
Shane Lemieux,NO,"$1,055,000",SLemieuxNO
Shemar Jean-Charles,NO,"$1,055,000",SJean-CharlesNO
Sincere Haynesworth,NO,"$797,000",SHaynesworthNO
Spencer Rattler,NO,"$879,120",SRattlerNO
Stanley Morgan,NO,"$985,000",SMorganNO
Taliese Fuaga,NO,"$3,154,210",TFuagaNO
Tanoh Kpassagnon,NO,"$3,303,000",TKpassagnonNO
Taysom Hill,NO,"$9,196,500",THillNO
Tommy Hudson,NO,"$915,000",THudsonNO
Trajan Jeffcoat,NO,"$796,000",TJeffcoatNO
Trevor Penning,NO,"$3,857,268",TPenningNO
Tyrann Mathieu,NO,"$5,567,000",TMathieuNO
Ugochukwu Amadi,NO,"$1,152,500",UAmadiNO
Will Harris,NO,"$1,152,500",WHarrisNO
"Willie Gay, Jr.",NO,"$3,000,000","WGay,NO"
Zach Wood,NO,"$1,410,000",ZWoodNO
Zander Horvath,NO,"$915,000",ZHorvathNO
