Aaron Robinson,NYG,"$1,636,502",ARobinsonNYG
Aaron Stinnie,NYG,"$1,152,500",AStinnieNYG
Alex Johnson,NYG,"$800,000",AJohnsonNYG
Allen Robinson,NYG,"$1,085,000",ARobinsonNYG
Andrew Thomas,NYG,"$23,263,235",AThomasNYG
Andru Phillips,NYG,"$1,090,171",APhillipsNYG
Austin Schlottmann,NYG,"$1,375,000",ASchlottmannNYG
Ayir Asante,NYG,"$795,333",AAsanteNYG
Azeez Ojulari,NYG,"$2,155,655",AOjulariNYG
Benton Whitley,NYG,"$985,000",BWhitleyNYG
Bobby Okereke,NYG,"$11,205,000",BOkerekeNYG
Brian Burns,NYG,"$15,500,000",BBurnsNYG
Bryce Ford-Wheaton,NYG,"$801,666",BFord-WheatonNYG
Carlos Basham Jr.,NYG,"$1,427,037",CBashamNYG
Carter Coughlin,NYG,"$1,152,500",CCoughlinNYG
Casey Kreiter,NYG,"$1,152,500",CKreiterNYG
Casey Rogers,NYG,"$801,666",CRogersNYG
Chris Manhertz,NYG,"$1,152,500",CManhertzNYG
Cordale Flott,NYG,"$1,429,594",CFlottNYG
D.J. Davidson,NYG,"$1,073,530",DDavidsonNYG
Dane Belton,NYG,"$1,181,123",DBeltonNYG
Daniel Bellinger,NYG,"$1,183,278",DBellingerNYG
Daniel Jones,NYG,"$47,855,000",DJonesNYG
Dante Miller,NYG,"$795,000",DMillerNYG
Darius Muasau,NYG,"$845,228",DMuasauNYG
Darius Slayton,NYG,"$7,950,000",DSlaytonNYG
Darnay Holmes,NYG,"$1,275,000",DHolmesNYG
Darrian Beavers,NYG,"$795,000",DBeaversNYG
David Long,NYG,"$985,000",DLongNYG
Dennis Houston,NYG,"$795,000",DHoustonNYG
Deonte Banks,NYG,"$3,086,228",DBanksNYG
Devin Singletary,NYG,"$3,750,000",DSingletaryNYG
Dexter Lawrence,NYG,"$14,575,776",DLawrenceNYG
Drew Lock,NYG,"$5,000,000",DLockNYG
Dyontae Johnson,NYG,"$795,000",DJohnsonNYG
Elijah Chatman,NYG,"$795,333",EChatmanNYG
Elijah Riley,NYG,"$985,000",ERileyNYG
Eric Gray,NYG,"$976,245",EGrayNYG
Evan Neal,NYG,"$6,695,797",ENealNYG
Gervarrius Owens,NYG,"$934,446",GOwensNYG
Graham Gano,NYG,"$7,211,668",GGanoNYG
Gunner Olszewski,NYG,"$1,152,500",GOlszewskiNYG
Isaiah Hodgins,NYG,"$1,035,000",IHodginsNYG
Isaiah McKenzie,NYG,"$1,152,500",IMcKenzieNYG
Isaiah Simmons,NYG,"$2,000,000",ISimmonsNYG
Jack Stoll,NYG,"$1,105,000",JStollNYG
Jacob Salyors,NYG,"$795,000",JSalyorsNYG
Jake Kubas,NYG,"$805,000",JKubasNYG
Jalen Mayfield,NYG,"$985,000",JMayfieldNYG
Jalen Mills,NYG,"$1,152,500",JMillsNYG
Jalin Hyatt,NYG,"$1,278,481",JHyattNYG
Jamie Gillan,NYG,"$2,400,000",JGillanNYG
Jashaun Corbin,NYG,"$915,000",JCorbinNYG
Jason Pinnock,NYG,"$3,116,000",JPinnockNYG
Jermaine Eluemunor,NYG,"$4,750,000",JEluemunorNYG
Jimmy Morrissey,NYG,"$985,000",JMorrisseyNYG
John Jiles,NYG,"$805,000",JJilesNYG
John Michael Schmitz,NYG,"$1,448,485",JMichaelNYG
"Jon Runyan, Jr.",NYG,"$6,500,000","JRunyan,NYG"
Jordan Phillips,NYG,"$1,781,177",JPhillipsNYG
Jordon Riley,NYG,"$935,758",JRileyNYG
Joshua Ezeudu,NYG,"$1,496,052",JEzeuduNYG
Joshua Miles,NYG,"$985,000",JMilesNYG
Jude McAtamney,NYG,"$795,833",JMcAtamneyNYG
Kaleb Hayes,NYG,"$795,000",KHayesNYG
Kayvon Thibodeaux,NYG,"$8,547,011",KThibodeauxNYG
Lawrence Cager,NYG,"$1,055,000",LCagerNYG
Malik Nabers,NYG,"$5,310,500",MNabersNYG
Marcellus Johnson,NYG,"$801,666",MJohnsonNYG
Marcus McKethan,NYG,"$1,054,127",MMcKethanNYG
Matt Nelson,NYG,"$1,152,500",MNelsonNYG
Matthew Adams,NYG,"$1,152,500",MAdamsNYG
Micah McFadden,NYG,"$1,073,926",MMcFaddenNYG
Miles Boykin,NYG,"$1,152,500",MBoykinNYG
Nathan Rourke,NYG,"$915,000",NRourkeNYG
Nick McCloud,NYG,"$2,985,000",NMcCloudNYG
Ovie Oghoufo,NYG,"$797,500",OOghoufoNYG
Rakeem Nunez-Roches,NYG,"$4,333,333",RNunez-RochesNYG
Ryder Anderson,NYG,"$915,000",RAndersonNYG
Stantley Thomas-Oliver,NYG,"$1,055,000",SThomas-OliverNYG
Theo Johnson,NYG,"$1,002,859",TJohnsonNYG
Timmy Horne,NYG,"$985,000",THorneNYG
Tommy DeVito,NYG,"$915,000",TDeVitoNYG
Tomon Fox,NYG,"$915,000",TFoxNYG
Tre Hawkins,NYG,"$952,380",THawkinsNYG
Tre Herndon,NYG,"$985,000",THerndonNYG
Tyler Nubin,NYG,"$1,486,676",TNubinNYG
Tyree Jackson,NYG,"$1,055,000",TJacksonNYG
Tyron Tracy Jr.,NYG,"$866,588",TTracyNYG
Wan'Dale Robinson,NYG,"$2,232,318",WRobinsonNYG
Yodny Cajuste,NYG,"$985,000",YCajusteNYG
