Aaron Rodgers,NYJ,"$17,161,112",ARodgersNYJ
Ahmad Gardner,NYJ,"$9,122,945",AGardnerNYJ
Al Blades Jr.,NYJ,"$798,333",ABladesNYJ
Alijah Vera-Tucker,NYJ,"$5,054,329",AVera-TuckerNYJ
Allen Lazard,NYJ,"$12,184,000",ALazardNYJ
Andrew Peasley,NYJ,"$795,000",APeasleyNYJ
Ashtyn Davis,NYJ,"$1,292,500",ADavisNYJ
Austin Deculus,NYJ,"$985,000",ADeculusNYJ
Austin Seibert,NYJ,"$985,000",ASeibertNYJ
Brady Latham,NYJ,"$797,500",BLathamNYJ
Braelon Allen,NYJ,"$927,177",BAllenNYJ
Braiden McGregor,NYJ,"$801,666",BMcGregorNYJ
Brandin Echols,NYJ,"$1,098,548",BEcholsNYJ
Brandon Codrington,NYJ,"$795,000",BCodringtonNYJ
Breece Hall,NYJ,"$2,458,573",BHallNYJ
Bruce Hector,NYJ,"$1,055,000",BHectorNYJ
C.J. Mosley,NYJ,"$7,244,000",CMosleyNYJ
Carter Warren,NYJ,"$1,101,080",CWarrenNYJ
Chazz Surratt,NYJ,"$985,000",CSurrattNYJ
Chris Glaser,NYJ,"$915,000",CGlaserNYJ
Chuck Clark,NYJ,"$1,830,000",CClarkNYJ
D.J. Reed,NYJ,"$15,636,176",DReedNYJ
Eric Watts,NYJ,"$801,666",EWattsNYJ
Garrett Wilson,NYJ,"$5,605,638",GWilsonNYJ
Greg Zuerlein,NYJ,"$1,882,118",GZuerleinNYJ
Haason Reddick,NYJ,"$15,000,000",HReddickNYJ
Hamze El-Zayat,NYJ,"$795,000",HEl-ZayatNYJ
Irvin Charles,NYJ,"$915,000",ICharlesNYJ
Isaiah Davis,NYJ,"$858,569",IDavisNYJ
Isaiah Oliver,NYJ,"$2,500,000",IOliverNYJ
Israel Abanikanda,NYJ,"$999,095",IAbanikandaNYJ
Jackson Sirmon,NYJ,"$795,833",JSirmonNYJ
Jake Hanson,NYJ,"$1,100,000",JHansonNYJ
Jalyn Holmes,NYJ,"$985,000",JHolmesNYJ
Jamien Sherwood,NYJ,"$1,143,714",JSherwoodNYJ
Jarius Monroe,NYJ,"$798,333",JMonroeNYJ
Jarrick Bernard-Converse,NYJ,"$956,096",JBernard-ConverseNYJ
Jason Brownlee,NYJ,"$925,000",JBrownleeNYJ
Javon Kinlaw,NYJ,"$2,850,000",JKinlawNYJ
Jaylen Key,NYJ,"$815,184",JKeyNYJ
Jeremy Ruckert,NYJ,"$1,375,883",JRuckertNYJ
Jermaine Johnson II,NYJ,"$3,569,303",JJohnsonNYJ
Jimmy Ciarlo,NYJ,"$798,333",JCiarloNYJ
Joe Tippmann,NYJ,"$1,899,910",JTippmannNYJ
John Simpson,NYJ,"$3,210,000",JSimpsonNYJ
Jordan Travis,NYJ,"$858,569",JTravisNYJ
Kenny Yeboah,NYJ,"$1,322,647",KYeboahNYJ
Kevin Foelsch,NYJ,"$795,000",KFoelschNYJ
Kohl Levao,NYJ,"$795,000",KLevaoNYJ
Lance McCutcheon,NYJ,"$915,000",LMcCutcheonNYJ
Leki Fotu,NYJ,"$2,380,000",LFotuNYJ
Leonard Taylor,NYJ,"$798,333",LTaylorNYJ
Lincoln Sefcik,NYJ,"$796,666",LSefcikNYJ
Malachi Corley,NYJ,"$795,000",MCorleyNYJ
Malik Taylor,NYJ,"$1,055,000",MTaylorNYJ
Marcelino McCrary-Ball,NYJ,"$915,000",MMcCrary-BallNYJ
Marcus Riley,NYJ,"$796,666",MRileyNYJ
Max Mitchell,NYJ,"$1,184,007",MMitchellNYJ
Michael Carter II,NYJ,"$3,448,232",MCarterNYJ
Micheal Clemons,NYJ,"$1,176,024",MClemonsNYJ
Mike Williams,NYJ,"$2,724,000",MWilliamsNYJ
Morgan Moses,NYJ,"$5,500,000",MMosesNYJ
Myles Jones,NYJ,"$795,333",MJonesNYJ
Nick Bawden,NYJ,"$1,055,000",NBawdenNYJ
Obinna Eze,NYJ,"$795,000",OEzeNYJ
Olu Fashanu,NYJ,"$3,729,220",OFashanuNYJ
Quincy Williams,NYJ,"$7,150,000",QWilliamsNYJ
Quinnen Williams,NYJ,"$20,400,000",QWilliamsNYJ
Qwan'Tez Stiggers,NYJ,"$858,569",QStiggersNYJ
Sam Eguavoen,NYJ,"$985,000",SEguavoenNYJ
Shemar Bartholomew,NYJ,"$798,333",SBartholomewNYJ
Solomon Thomas,NYJ,"$3,000,000",SThomasNYJ
Takkarist McKinley,NYJ,"$985,000",TMcKinleyNYJ
Tanzel Smart,NYJ,"$985,000",TSmartNYJ
Tarik Cohen,NYJ,"$985,000",TCohenNYJ
Thomas Hennessy,NYJ,"$1,385,000",THennessyNYJ
Thomas Morstead,NYJ,"$2,050,000",TMorsteadNYJ
Tony Adams,NYJ,"$988,334",TAdamsNYJ
Tyler Conklin,NYJ,"$9,338,334",TConklinNYJ
Tyler Harrell,NYJ,"$796,666",THarrellNYJ
Tyrod Taylor,NYJ,"$2,800,000",TTaylorNYJ
Tyron Smith,NYJ,"$2,900,000",TSmithNYJ
Wes Schweitzer,NYJ,"$2,028,235",WSchweitzerNYJ
Will McDonald IV,NYJ,"$3,709,469",WMcDonaldNYJ
Willie Tyler,NYJ,"$796,666",WTylerNYJ
Xavier Gipson,NYJ,"$920,000",XGipsonNYJ
Xavier Newman-Johnson,NYJ,"$985,000",XNewman-JohnsonNYJ
Xazavian Valladay,NYJ,"$795,000",XValladayNYJ
Zack Kuntz,NYJ,"$795,000",ZKuntzNYJ
