Alex Austin,NE,"$915,000"
Anfernee Jennings,NE,"$3,561,765"
Antonio Gibson,NE,"$3,220,000"
Armon Watts,NE,"$2,160,000"
Atonio Mafi,NE,"$998,885"
Austin Hooper,NE,"$3,125,000"
Azizi Hearn,NE,"$795,000"
Bailey Zappe,NE,"$985,000"
Brenden Schooler,NE,"$990,000"
Bryce Baringer,NE,"$959,614"
Caedan Wallace,NE,"$1,098,782"
Calvin Anderson,NE,"$2,605,000"
Chad Ryland,NE,"$1,111,687"
Charles Turner,NE,"$800,000"
Christian Barmore,NE,"$6,311,631"
Christian Elliss,NE,"$985,000"
Christian Gonzalez,NE,"$3,432,470"
Chukwuma Okorafor,NE,"$4,000,000"
Cole Strange,NE,"$3,342,538"
Daniel Ekuale,NE,"$1,680,000"
David Andrews,NE,"$6,675,000"
David Wallis,NE,"$795,000"
Davon Godchaux,NE,"$11,800,000"
Deatrich Wise,NE,"$7,641,176"
Dell Pettus,NE,"$798,000"
Demario Douglas,NE,"$948,333"
Deshaun Fenwick,NE,"$796,666"
Drake Maye,NE,"$6,661,775"
Hunter Henry,NE,"$5,323,529"
Isaiah Bolden,NE,"$815,421"
Ja'Lynn Polk,NE,"$1,762,681"
Ja'Whaun Bentley,NE,"$6,273,333"
JaMycal Hasty,NE,"$1,367,059"
JaQuae Jackson,NE,"$795,000"
Jabrill Peppers,NE,"$6,470,000"
Jacob Warren,NE,"$798,333"
Jacoby Brissett,NE,"$7,882,353"
Jaheim Bell,NE,"$821,648"
Jahlani Tavai,NE,"$3,452,084"
Jake Andrews,NE,"$1,117,086"
Jalen Reagor,NE,"$1,292,500"
Javon Baker,NE,"$999,149"
Jaylinn Hawkins,NE,"$1,152,500"
Jeremiah Pharms,NE,"$915,000"
Joe Cardona,NE,"$1,553,000"
Joe Giles-Harris,NE,"$985,000"
Joe Milton III,NE,"$840,829"
Joey Slye,NE,"$1,127,500"
John Morgan,NE,"$798,333"
Jonathan Jones,NE,"$12,573,529"
Jontrey Hunter,NE,"$800,000"
Josh Uche,NE,"$2,940,000"
Joshuah Bledsoe,NE,"$915,000"
Jotham Russell,NE,"$795,000"
JuJu Smith-Schuster,NE,"$10,280,392"
K.J. Osborn,NE,"$3,960,000"
Kaleb Ford-Dement,NE,"$797,500"
Kawaan Baker,NE,"$795,000"
Kayshon Boutte,NE,"$961,818"
Keion White,NE,"$1,770,493"
Kendrick Bourne,NE,"$3,250,000"
Kevin Harris,NE,"$985,000"
Kyle Dugger,NE,"$7,500,000"
La'Michael Pettway,NE,"$795,000"
Layden Robinson,NE,"$1,008,018"
Liam Fornadel,NE,"$795,000"
Marcellas Dial,NE,"$848,032"
Marco Wilson,NE,"$2,616,000"
Marcus Jones,NE,"$1,411,896"
Marte Mapu,NE,"$1,264,479"
Matt Judon,NE,"$14,675,850"
Michael Jordan,NE,"$985,000"
Michael Onwenu,NE,"$10,941,176"
Mikey Victor,NE,"$796,000"
Mitchell Wilcox,NE,"$1,075,000"
Nick Leverett,NE,"$1,775,000"
Oshane Ximines,NE,"$985,000"
Raekwon McMillan,NE,"$1,275,000"
Rhamondre Stevenson,NE,"$4,903,265"
Sam Roberts,NE,"$1,027,869"
Shaun Wade,NE,"$1,055,000"
Sidy Sow,NE,"$1,106,029"
Sione Takitaki,NE,"$3,355,000"
Steele Chambers,NE,"$795,000"
Terrell Jennings,NE,"$795,000"
Trysten Hill,NE,"$985,000"
Tyquan Thornton,NE,"$1,923,780"
Tyrone Wheatley Jr.,NE,"$915,000"
Vederian Lowe,NE,"$985,000"
William Bradley-King,NE,"$915,000"
Zuri Henry,NE,"$798,333"
