A.T. Perry,NO,"$959,091"
Adam Prentice,NO,"$1,130,000"
Alontae Taylor,NO,"$1,964,917"
Alvin Kamara,NO,"$18,553,824"
Anfernee Orji,NO,"$795,000"
Blake Grupe,NO,"$915,833"
Bryan Bresee,NO,"$2,787,171"
Bub Means,NO,"$858,569"
Cameron Jordan,NO,"$13,852,250"
Carl Granderson,NO,"$5,250,000"
Cedrick Wilson Jr.,NO,"$1,850,000"
Cesar Ruiz,NO,"$4,450,000"
Charlie Smyth,NO,"$795,000"
Chase Young,NO,"$3,442,000"
Chris Olave,NO,"$5,255,965"
D'Marco Jackson,NO,"$1,064,229"
Dallin Holker,NO,"$798,333"
Demario Davis,NO,"$9,033,000"
Derek Carr,NO,"$12,668,000"
Equanimeous St. Brown,NO,"$985,000"
Erik McCoy,NO,"$6,520,000"
Foster Moreau,NO,"$4,367,059"
Isaiah Foskey,NO,"$1,985,164"
Isaiah Stalbird,NO,"$798,333"
J.T. Gray,NO,"$3,480,000"
Jack Heflin,NO,"$915,000"
Jacob Kibodi,NO,"$797,000"
Jake Haener,NO,"$1,076,520"
Jamaal Williams,NO,"$4,630,000"
James Robinson,NO,"$1,055,000"
Jaylan Ford,NO,"$858,569"
Jermaine Jackson,NO,"$798,333"
Jesper Horsted,NO,"$985,000"
Johnathan Abram,NO,"$1,065,000"
Jordan Howden,NO,"$996,682"
Jordan Mims,NO,"$795,000"
Josiah Ezirim,NO,"$819,604"
Justin Herron,NO,"$985,000"
Juwan Johnson,NO,"$7,000,000"
Kendal Vickers,NO,"$1,055,000"
Kendre Miller,NO,"$1,285,071"
Khaleke Hudson,NO,"$1,152,500"
Khalen Saunders,NO,"$4,400,000"
Khristian Boyd,NO,"$839,707"
Kool-Aid McKinstry,NO,"$1,664,929"
Kyle Hergel,NO,"$798,333"
Kyler Baugh,NO,"$798,333"
Landon Young,NO,"$1,097,445"
Lawrence Johnson,NO,"$796,666"
Lou Hedley,NO,"$916,666"
Lucas Patrick,NO,"$1,152,500"
Mac McCain III,NO,"$915,000"
Mark Evans II,NO,"$795,000"
Marshon Lattimore,NO,"$14,616,317"
Mason Tipton,NO,"$798,333"
Matthew Hayball,NO,"$798,333"
Michael Jacobson,NO,"$795,000"
Millard Bradford,NO,"$798,333"
Monty Rice,NO,"$1,321,209"
Nathan Peterman,NO,"$1,152,500"
Nathan Shepherd,NO,"$2,820,000"
Nephi Sewell,NO,"$985,000"
Nick Saldiveri,NO,"$1,188,570"
Niko Lalos,NO,"$915,000"
Nouri Nouili,NO,"$796,666"
Olisaemeka Udoh,NO,"$2,000,000"
Paulson Adebo,NO,"$3,623,274"
Payton Turner,NO,"$3,985,143"
Pete Werner,NO,"$1,808,763"
Rashid Shaheed,NO,"$985,000"
Rejzohn Wright,NO,"$795,000"
Rico Payton,NO,"$800,000"
Roderic Teamer,NO,"$985,000"
Ryan Ramczyk,NO,"$12,293,321"
Shane Lemieux,NO,"$1,055,000"
Shemar Jean-Charles,NO,"$1,055,000"
Sincere Haynesworth,NO,"$797,000"
Spencer Rattler,NO,"$879,120"
Stanley Morgan,NO,"$985,000"
Taliese Fuaga,NO,"$3,154,210"
Tanoh Kpassagnon,NO,"$3,303,000"
Taysom Hill,NO,"$9,196,500"
Tommy Hudson,NO,"$915,000"
Trajan Jeffcoat,NO,"$796,000"
Trevor Penning,NO,"$3,857,268"
Tyrann Mathieu,NO,"$5,567,000"
Ugochukwu Amadi,NO,"$1,152,500"
Will Harris,NO,"$1,152,500"
"Willie Gay, Jr.",NO,"$3,000,000"
Zach Wood,NO,"$1,410,000"
Zander Horvath,NO,"$915,000"
