Aaron Robinson,NYG,"$1,636,502"
Aaron Stinnie,NYG,"$1,152,500"
Alex Johnson,NYG,"$800,000"
Allen Robinson,NYG,"$1,085,000"
Andrew Thomas,NYG,"$23,263,235"
Andru Phillips,NYG,"$1,090,171"
Austin Schlottmann,NYG,"$1,375,000"
Ayir Asante,NYG,"$795,333"
Azeez Ojulari,NYG,"$2,155,655"
Benton Whitley,NYG,"$985,000"
Bobby Okereke,NYG,"$11,205,000"
Brian Burns,NYG,"$15,500,000"
Bryce Ford-Wheaton,NYG,"$801,666"
Carlos Basham Jr.,NYG,"$1,427,037"
Carter Coughlin,NYG,"$1,152,500"
Casey Kreiter,NYG,"$1,152,500"
Casey Rogers,NYG,"$801,666"
Chris Manhertz,NYG,"$1,152,500"
Cordale Flott,NYG,"$1,429,594"
D.J. Davidson,NYG,"$1,073,530"
Dane Belton,NYG,"$1,181,123"
Daniel Bellinger,NYG,"$1,183,278"
Daniel Jones,NYG,"$47,855,000"
Dante Miller,NYG,"$795,000"
Darius Muasau,NYG,"$845,228"
Darius Slayton,NYG,"$7,950,000"
Darnay Holmes,NYG,"$1,275,000"
Darrian Beavers,NYG,"$795,000"
David Long,NYG,"$985,000"
Dennis Houston,NYG,"$795,000"
Deonte Banks,NYG,"$3,086,228"
Devin Singletary,NYG,"$3,750,000"
Dexter Lawrence,NYG,"$14,575,776"
Drew Lock,NYG,"$5,000,000"
Dyontae Johnson,NYG,"$795,000"
Elijah Chatman,NYG,"$795,333"
Elijah Riley,NYG,"$985,000"
Eric Gray,NYG,"$976,245"
Evan Neal,NYG,"$6,695,797"
Gervarrius Owens,NYG,"$934,446"
Graham Gano,NYG,"$7,211,668"
Gunner Olszewski,NYG,"$1,152,500"
Isaiah Hodgins,NYG,"$1,035,000"
Isaiah McKenzie,NYG,"$1,152,500"
Isaiah Simmons,NYG,"$2,000,000"
Jack Stoll,NYG,"$1,105,000"
Jacob Salyors,NYG,"$795,000"
Jake Kubas,NYG,"$805,000"
Jalen Mayfield,NYG,"$985,000"
Jalen Mills,NYG,"$1,152,500"
Jalin Hyatt,NYG,"$1,278,481"
Jamie Gillan,NYG,"$2,400,000"
Jashaun Corbin,NYG,"$915,000"
Jason Pinnock,NYG,"$3,116,000"
Jermaine Eluemunor,NYG,"$4,750,000"
Jimmy Morrissey,NYG,"$985,000"
John Jiles,NYG,"$805,000"
John Michael Schmitz,NYG,"$1,448,485"
"Jon Runyan, Jr.",NYG,"$6,500,000"
Jordan Phillips,NYG,"$1,781,177"
Jordon Riley,NYG,"$935,758"
Joshua Ezeudu,NYG,"$1,496,052"
Joshua Miles,NYG,"$985,000"
Jude McAtamney,NYG,"$795,833"
Kaleb Hayes,NYG,"$795,000"
Kayvon Thibodeaux,NYG,"$8,547,011"
Lawrence Cager,NYG,"$1,055,000"
Malik Nabers,NYG,"$5,310,500"
Marcellus Johnson,NYG,"$801,666"
Marcus McKethan,NYG,"$1,054,127"
Matt Nelson,NYG,"$1,152,500"
Matthew Adams,NYG,"$1,152,500"
Micah McFadden,NYG,"$1,073,926"
Miles Boykin,NYG,"$1,152,500"
Nathan Rourke,NYG,"$915,000"
Nick McCloud,NYG,"$2,985,000"
Ovie Oghoufo,NYG,"$797,500"
Rakeem Nunez-Roches,NYG,"$4,333,333"
Ryder Anderson,NYG,"$915,000"
Stantley Thomas-Oliver,NYG,"$1,055,000"
Theo Johnson,NYG,"$1,002,859"
Timmy Horne,NYG,"$985,000"
Tommy DeVito,NYG,"$915,000"
Tomon Fox,NYG,"$915,000"
Tre Hawkins,NYG,"$952,380"
Tre Herndon,NYG,"$985,000"
Tyler Nubin,NYG,"$1,486,676"
Tyree Jackson,NYG,"$1,055,000"
Tyron Tracy Jr.,NYG,"$866,588"
Wan'Dale Robinson,NYG,"$2,232,318"
Yodny Cajuste,NYG,"$985,000"
