Aaron Rodgers,NYJ,"$17,161,112"
Ahmad Gardner,NYJ,"$9,122,945"
Al Blades Jr.,NYJ,"$798,333"
Alijah Vera-Tucker,NYJ,"$5,054,329"
Allen Lazard,NYJ,"$12,184,000"
Andrew Peasley,NYJ,"$795,000"
Ashtyn Davis,NYJ,"$1,292,500"
Austin Deculus,NYJ,"$985,000"
Austin Seibert,NYJ,"$985,000"
Brady Latham,NYJ,"$797,500"
Braelon Allen,NYJ,"$927,177"
Braiden McGregor,NYJ,"$801,666"
Brandin Echols,NYJ,"$1,098,548"
Brandon Codrington,NYJ,"$795,000"
Breece Hall,NYJ,"$2,458,573"
Bruce Hector,NYJ,"$1,055,000"
C.J. Mosley,NYJ,"$7,244,000"
Carter Warren,NYJ,"$1,101,080"
Chazz Surratt,NYJ,"$985,000"
Chris Glaser,NYJ,"$915,000"
Chuck Clark,NYJ,"$1,830,000"
D.J. Reed,NYJ,"$15,636,176"
Eric Watts,NYJ,"$801,666"
Garrett Wilson,NYJ,"$5,605,638"
Greg Zuerlein,NYJ,"$1,882,118"
Haason Reddick,NYJ,"$15,000,000"
Hamze El-Zayat,NYJ,"$795,000"
Irvin Charles,NYJ,"$915,000"
Isaiah Davis,NYJ,"$858,569"
Isaiah Oliver,NYJ,"$2,500,000"
Israel Abanikanda,NYJ,"$999,095"
Jackson Sirmon,NYJ,"$795,833"
Jake Hanson,NYJ,"$1,100,000"
Jalyn Holmes,NYJ,"$985,000"
Jamien Sherwood,NYJ,"$1,143,714"
Jarius Monroe,NYJ,"$798,333"
Jarrick Bernard-Converse,NYJ,"$956,096"
Jason Brownlee,NYJ,"$925,000"
Javon Kinlaw,NYJ,"$2,850,000"
Jaylen Key,NYJ,"$815,184"
Jeremy Ruckert,NYJ,"$1,375,883"
Jermaine Johnson II,NYJ,"$3,569,303"
Jimmy Ciarlo,NYJ,"$798,333"
Joe Tippmann,NYJ,"$1,899,910"
John Simpson,NYJ,"$3,210,000"
Jordan Travis,NYJ,"$858,569"
Kenny Yeboah,NYJ,"$1,322,647"
Kevin Foelsch,NYJ,"$795,000"
Kohl Levao,NYJ,"$795,000"
Lance McCutcheon,NYJ,"$915,000"
Leki Fotu,NYJ,"$2,380,000"
Leonard Taylor,NYJ,"$798,333"
Lincoln Sefcik,NYJ,"$796,666"
Malachi Corley,NYJ,"$795,000"
Malik Taylor,NYJ,"$1,055,000"
Marcelino McCrary-Ball,NYJ,"$915,000"
Marcus Riley,NYJ,"$796,666"
Max Mitchell,NYJ,"$1,184,007"
Michael Carter II,NYJ,"$3,448,232"
Micheal Clemons,NYJ,"$1,176,024"
Mike Williams,NYJ,"$2,724,000"
Morgan Moses,NYJ,"$5,500,000"
Myles Jones,NYJ,"$795,333"
Nick Bawden,NYJ,"$1,055,000"
Obinna Eze,NYJ,"$795,000"
Olu Fashanu,NYJ,"$3,729,220"
Quincy Williams,NYJ,"$7,150,000"
Quinnen Williams,NYJ,"$20,400,000"
Qwan'Tez Stiggers,NYJ,"$858,569"
Sam Eguavoen,NYJ,"$985,000"
Shemar Bartholomew,NYJ,"$798,333"
Solomon Thomas,NYJ,"$3,000,000"
Takkarist McKinley,NYJ,"$985,000"
Tanzel Smart,NYJ,"$985,000"
Tarik Cohen,NYJ,"$985,000"
Thomas Hennessy,NYJ,"$1,385,000"
Thomas Morstead,NYJ,"$2,050,000"
Tony Adams,NYJ,"$988,334"
Tyler Conklin,NYJ,"$9,338,334"
Tyler Harrell,NYJ,"$796,666"
Tyrod Taylor,NYJ,"$2,800,000"
Tyron Smith,NYJ,"$2,900,000"
Wes Schweitzer,NYJ,"$2,028,235"
Will McDonald IV,NYJ,"$3,709,469"
Willie Tyler,NYJ,"$796,666"
Xavier Gipson,NYJ,"$920,000"
Xavier Newman-Johnson,NYJ,"$985,000"
Xazavian Valladay,NYJ,"$795,000"
Zack Kuntz,NYJ,"$795,000"
Zaire Barnes,NYJ,"$963,392"
