A.J. Brown,PHI,"$11,878,894",ABrownPHI
Ainias Smith,PHI,"$878,574",ASmithPHI
Albert Okwuegbunam,PHI,"$1,400,000",AOkwuegbunamPHI
Andre Sam,PHI,"$801,666",ASamPHI
Anim Dankwah,PHI,"$811,666",ADankwahPHI
Austin Watkins,PHI,"$820,000",AWatkinsPHI
Avonte Maddox,PHI,"$1,617,647",AMaddoxPHI
Ben VanSumeren,PHI,"$915,000",BVanSumerenPHI
Braden Mann,PHI,"$1,325,000",BMannPHI
Brandon Graham,PHI,"$8,198,000",BGrahamPHI
Brandon Smith,PHI,"$915,000",BSmithPHI
Brett Toth,PHI,"$985,000",BTothPHI
Britain Covey,PHI,"$985,000",BCoveyPHI
Bryce Huff,PHI,"$4,350,000",BHuffPHI
C.J. Uzomah,PHI,"$1,152,500",CUzomahPHI
Cameron Jurgens,PHI,"$1,882,643",CJurgensPHI
"Chauncey Gardner-Johnson, Jr.",PHI,"$2,682,353","CGardner-Johnson,PHI"
Cooper DeJean,PHI,"$1,687,931",CDeJeanPHI
Dallas Goedert,PHI,"$9,131,583",DGoedertPHI
Darian Kinnard,PHI,"$965,000",DKinnardPHI
Darius Slay,PHI,"$10,651,483",DSlayPHI
DeVonta Smith,PHI,"$8,127,381",DSmithPHI
Devin White,PHI,"$1,718,353",DWhitePHI
Dylan McMahon,PHI,"$841,525",DMcMahonPHI
E.J. Jenkins,PHI,"$815,000",EJenkinsPHI
Eli Ricks,PHI,"$918,333",ERicksPHI
Fred Johnson,PHI,"$1,225,000",FJohnsonPHI
Gabe Hall,PHI,"$803,701",GHallPHI
Gottlieb Ayedze,PHI,"$805,000",GAyedzePHI
Grant Calcaterra,PHI,"$1,028,535",GCalcaterraPHI
Isaiah Rodgers,PHI,"$1,055,000",IRodgersPHI
Jacob Harris,PHI,"$997,500",JHarrisPHI
Jake Elliott,PHI,"$4,570,000",JElliottPHI
Jalen Carter,PHI,"$4,955,951",JCarterPHI
Jalen Hurts,PHI,"$13,558,800",JHurtsPHI
Jalyx Hunt,PHI,"$1,024,188",JHuntPHI
James Bradberry,PHI,"$4,305,000",JBradberryPHI
Jason Poe,PHI,"$795,000",JPoePHI
Jeremiah Trotter Jr.,PHI,"$877,117",JTrotterPHI
John Ross,PHI,"$985,000",JRossPHI
Johnny Wilson,PHI,"$844,252",JWilsonPHI
Jordan Davis,PHI,"$4,626,638",JDavisPHI
Jordan Mailata,PHI,"$11,616,000",JMailataPHI
Joseph Ngata,PHI,"$795,000",JNgataPHI
Josh Jobe,PHI,"$988,334",JJobePHI
Josh Sweat,PHI,"$8,027,000",JSweatPHI
Julian Okwara,PHI,"$1,276,471",JOkwaraPHI
Kelee Ringo,PHI,"$1,120,232",KRingoPHI
Kendall Milton,PHI,"$803,333",KMiltonPHI
Kenneth Gainwell,PHI,"$1,138,881",KGainwellPHI
Kenny Pickett,PHI,"$1,983,900",KPickettPHI
Laekin Vakalahi,PHI,"$795,000",LVakalahiPHI
Landon Dickerson,PHI,"$5,987,940",LDickersonPHI
Lane Johnson,PHI,"$15,865,000",LJohnsonPHI
Lew Nichols III,PHI,"$795,000",LNicholsPHI
Mario Goodrich,PHI,"$915,000",MGoodrichPHI
Marlon Tuipulotu,PHI,"$1,103,978",MTuipulotuPHI
Matt Hennessy,PHI,"$1,750,000",MHennessyPHI
Max Scharping,PHI,"$985,000",MScharpingPHI
McCallan Castles,PHI,"$805,000",MCastlesPHI
Mekhi Becton,PHI,"$1,971,176",MBectonPHI
Mekhi Garner,PHI,"$915,000",MGarnerPHI
Milton Williams,PHI,"$3,385,124",MWilliamsPHI
Moro Ojomo,PHI,"$934,446",MOjomoPHI
Nakobe Dean,PHI,"$1,419,448",NDeanPHI
Nolan Smith,PHI,"$2,725,549",NSmithPHI
Oren Burks,PHI,"$1,500,000",OBurksPHI
P.J. Mustipher,PHI,"$927,500",PMustipherPHI
Parris Campbell,PHI,"$1,152,500",PCampbellPHI
Parry Nickerson,PHI,"$985,000",PNickersonPHI
Patrick Johnson,PHI,"$1,081,468",PJohnsonPHI
Quinyon Mitchell,PHI,"$2,694,199",QMitchellPHI
Reed Blankenship,PHI,"$1,356,668",RBlankenshipPHI
Rick Lovato,PHI,"$1,035,000",RLovatoPHI
Saquon Barkley,PHI,"$3,800,000",SBarkleyPHI
Shaq Davis,PHI,"$832,500",SDavisPHI
Shon Stephens,PHI,"$795,000",SStephensPHI
Sydney Brown,PHI,"$1,306,615",SBrownPHI
Tanner McKee,PHI,"$961,630",TMcKeePHI
Tarron Jackson,PHI,"$985,000",TJacksonPHI
Terrell Lewis,PHI,"$1,055,000",TLewisPHI
Thomas Booker,PHI,"$915,000",TBookerPHI
Trevor Keegan,PHI,"$858,569",TKeeganPHI
Tristin McCollum,PHI,"$915,000",TMcCollumPHI
Tyler Hall,PHI,"$1,035,000",THallPHI
Tyler Steen,PHI,"$1,306,918",TSteenPHI
Tyrion Davis-Price,PHI,"$1,110,000",TDavis-PricePHI
Will Grier,PHI,"$985,000",WGrierPHI
Will Shipley,PHI,"$974,241",WShipleyPHI
Zack Baun,PHI,"$1,600,000",ZBaunPHI
Zech McPhearson,PHI,"$1,237,414",ZMcPhearsonPHI
