A.J. Brown,PHI,"$11,878,894"
Ainias Smith,PHI,"$878,574"
Albert Okwuegbunam,PHI,"$1,400,000"
Andre Sam,PHI,"$801,666"
Anim Dankwah,PHI,"$811,666"
Austin Watkins,PHI,"$820,000"
Avonte Maddox,PHI,"$1,617,647"
Ben VanSumeren,PHI,"$915,000"
Braden Mann,PHI,"$1,325,000"
Brandon Graham,PHI,"$8,198,000"
Brandon Smith,PHI,"$915,000"
Brett Toth,PHI,"$985,000"
Britain Covey,PHI,"$985,000"
Bryce Huff,PHI,"$4,350,000"
C.J. Uzomah,PHI,"$1,152,500"
Cameron Jurgens,PHI,"$1,882,643"
"Chauncey Gardner-Johnson, Jr.",PHI,"$2,682,353"
Cooper DeJean,PHI,"$1,687,931"
Dallas Goedert,PHI,"$9,131,583"
Darian Kinnard,PHI,"$965,000"
Darius Slay,PHI,"$10,651,483"
DeVonta Smith,PHI,"$8,127,381"
Devin White,PHI,"$1,718,353"
Dylan McMahon,PHI,"$841,525"
E.J. Jenkins,PHI,"$815,000"
Eli Ricks,PHI,"$918,333"
Fred Johnson,PHI,"$1,225,000"
Gabe Hall,PHI,"$803,701"
Gottlieb Ayedze,PHI,"$805,000"
Grant Calcaterra,PHI,"$1,028,535"
Isaiah Rodgers,PHI,"$1,055,000"
Jacob Harris,PHI,"$997,500"
Jake Elliott,PHI,"$4,570,000"
Jalen Carter,PHI,"$4,955,951"
Jalen Hurts,PHI,"$13,558,800"
Jalyx Hunt,PHI,"$1,024,188"
James Bradberry,PHI,"$4,305,000"
Jason Poe,PHI,"$795,000"
Jeremiah Trotter Jr.,PHI,"$877,117"
John Ross,PHI,"$985,000"
Johnny Wilson,PHI,"$844,252"
Jordan Davis,PHI,"$4,626,638"
Jordan Mailata,PHI,"$11,616,000"
Joseph Ngata,PHI,"$795,000"
Josh Jobe,PHI,"$988,334"
Josh Sweat,PHI,"$8,027,000"
Julian Okwara,PHI,"$1,276,471"
Kelee Ringo,PHI,"$1,120,232"
Kendall Milton,PHI,"$803,333"
Kenneth Gainwell,PHI,"$1,138,881"
Kenny Pickett,PHI,"$1,983,900"
Laekin Vakalahi,PHI,"$795,000"
Landon Dickerson,PHI,"$5,987,940"
Lane Johnson,PHI,"$15,865,000"
Lew Nichols III,PHI,"$795,000"
Mario Goodrich,PHI,"$915,000"
Marlon Tuipulotu,PHI,"$1,103,978"
Matt Hennessy,PHI,"$1,750,000"
Max Scharping,PHI,"$985,000"
McCallan Castles,PHI,"$805,000"
Mekhi Becton,PHI,"$1,971,176"
Mekhi Garner,PHI,"$915,000"
Milton Williams,PHI,"$3,385,124"
Moro Ojomo,PHI,"$934,446"
Nakobe Dean,PHI,"$1,419,448"
Nolan Smith,PHI,"$2,725,549"
Oren Burks,PHI,"$1,500,000"
P.J. Mustipher,PHI,"$927,500"
Parris Campbell,PHI,"$1,152,500"
Parry Nickerson,PHI,"$985,000"
Patrick Johnson,PHI,"$1,081,468"
Quinyon Mitchell,PHI,"$2,694,199"
Reed Blankenship,PHI,"$1,356,668"
Rick Lovato,PHI,"$1,035,000"
Saquon Barkley,PHI,"$3,800,000"
Shaq Davis,PHI,"$832,500"
Shon Stephens,PHI,"$795,000"
Sydney Brown,PHI,"$1,306,615"
Tanner McKee,PHI,"$961,630"
Tarron Jackson,PHI,"$985,000"
Terrell Lewis,PHI,"$1,055,000"
Thomas Booker,PHI,"$915,000"
Trevor Keegan,PHI,"$858,569"
Tristin McCollum,PHI,"$915,000"
Tyler Hall,PHI,"$1,035,000"
Tyler Steen,PHI,"$1,306,918"
Tyrion Davis-Price,PHI,"$1,110,000"
Will Grier,PHI,"$985,000"
Will Shipley,PHI,"$974,241"
Zack Baun,PHI,"$1,600,000"
Zech McPhearson,PHI,"$1,237,414"
