T.J. Watt,PIT,Pittsburgh Steelers,"$30,418,694"
Cameron Heyward,PIT,Pittsburgh Steelers,"$22,406,250"
Minkah Fitzpatrick,PIT,Pittsburgh Steelers,"$21,355,000"
Larry Ogunjobi,PIT,Pittsburgh Steelers,"$13,283,333"
James Daniels,PIT,Pittsburgh Steelers,"$11,166,668"
Isaac Seumalo,PIT,Pittsburgh Steelers,"$10,191,666"
Cole Holcomb,PIT,Pittsburgh Steelers,"$7,640,000"
Alex Highsmith,PIT,Pittsburgh Steelers,"$6,727,000"
Patrick Queen,PIT,Pittsburgh Steelers,"$6,113,333"
Donte Jackson,PIT,Pittsburgh Steelers,"$6,000,000"
Nate Herbig,PIT,Pittsburgh Steelers,"$5,460,000"
Chris Boswell,PIT,Pittsburgh Steelers,"$4,720,000"
Elandon Roberts,PIT,Pittsburgh Steelers,"$4,667,500"
Najee Harris,PIT,Pittsburgh Steelers,"$4,151,460"
Damontae Kazee,PIT,Pittsburgh Steelers,"$3,875,000"
Broderick Jones,PIT,Pittsburgh Steelers,"$3,778,719"
Dan Moore Jr.,PIT,Pittsburgh Steelers,"$3,540,475"
Justin Fields,PIT,Pittsburgh Steelers,"$3,233,448"
Troy Fautanu,PIT,Pittsburgh Steelers,"$2,737,326"
Miles Killebrew,PIT,Pittsburgh Steelers,"$2,255,000"
Cordarrelle Patterson,PIT,Pittsburgh Steelers,"$2,250,000"
DeShon Elliott,PIT,Pittsburgh Steelers,"$2,250,000"
Joey Porter Jr.,PIT,Pittsburgh Steelers,"$2,185,988"
Montravius Adams,PIT,Pittsburgh Steelers,"$2,125,000"
Cameron Johnston,PIT,Pittsburgh Steelers,"$2,083,333"
Pat Freiermuth,PIT,Pittsburgh Steelers,"$1,918,057"
Dean Lowry,PIT,Pittsburgh Steelers,"$1,875,000"
George Pickens,PIT,Pittsburgh Steelers,"$1,841,506"
Keeanu Benton,PIT,Pittsburgh Steelers,"$1,666,619"
DeMarvin Leal,PIT,Pittsburgh Steelers,"$1,414,608"
Zach Frazier,PIT,Pittsburgh Steelers,"$1,371,675"
Darnell Washington,PIT,Pittsburgh Steelers,"$1,216,798"
Russell Wilson,PIT,Pittsburgh Steelers,"$1,210,000"
Christian Kuntz,PIT,Pittsburgh Steelers,"$1,163,333"
Quez Watkins,PIT,Pittsburgh Steelers,"$1,152,500"
Van Jefferson,PIT,Pittsburgh Steelers,"$1,152,500"
Kyle Allen,PIT,Pittsburgh Steelers,"$1,152,500"
Scott Miller,PIT,Pittsburgh Steelers,"$1,152,500"
Isaiahh Loudermilk,PIT,Pittsburgh Steelers,"$1,135,072"
Calvin Austin III,PIT,Pittsburgh Steelers,"$1,111,084"
