A.J. Barner,SEA,"$983,777",ABarnerSEA
Abraham Lucas,SEA,"$1,470,456",ALucasSEA
Andrew Whitaker,SEA,"$795,000",AWhitakerSEA
Anthony Bradford,SEA,"$1,115,997",ABradfordSEA
Artie Burns,SEA,"$1,152,500",ABurnsSEA
Boye Mafe,SEA,"$2,335,162",BMafeSEA
Brady Russell,SEA,"$915,000",BRussellSEA
Byron Murphy,SEA,"$2,924,204",BMurphySEA
Cameron Young,SEA,"$1,096,877",CYoungSEA
Carlton Johnson,SEA,"$796,666",CJohnsonSEA
Charles Cross,SEA,"$5,831,898",CCrossSEA
Chris Stoll,SEA,"$917,166",CStollSEA
Christian Haynes,SEA,"$1,055,047",CHaynesSEA
Coby Bryant,SEA,"$1,186,952",CBryantSEA
Cody White,SEA,"$915,000",CWhiteSEA
D'Wayne Eskridge,SEA,"$1,477,457",DEskridgeSEA
D.J. James,SEA,"$841,108",DJamesSEA
D.K. Metcalf,SEA,"$24,500,000",DMetcalfSEA
Dareke Young,SEA,"$1,010,275",DYoungSEA
Darrell Taylor,SEA,"$3,136,000",DTaylorSEA
Dee Williams,SEA,"$803,333",DWilliamsSEA
Derick Hall,SEA,"$2,071,728",DHallSEA
Devere Levelston,SEA,"$796,000",DLevelstonSEA
Devin Richardson,SEA,"$795,000",DRichardsonSEA
Devon Witherspoon,SEA,"$7,241,171",DWitherspoonSEA
Drake Thomas,SEA,"$915,000",DThomasSEA
Dre'Mont Jones,SEA,"$10,770,416",DJonesSEA
Easop Winston,SEA,"$915,000",EWinstonSEA
Easton Gibbs,SEA,"$801,666",EGibbsSEA
Garret Greenfield,SEA,"$801,666",GGreenfieldSEA
Geno Smith,SEA,"$26,400,000",GSmithSEA
George Fant,SEA,"$3,430,000",GFantSEA
George Holani,SEA,"$800,000",GHolaniSEA
Hayden Hatten,SEA,"$800,000",HHattenSEA
Jack Westover,SEA,"$803,333",JWestoverSEA
Jake Bobo,SEA,"$918,333",JBoboSEA
Jarran Reed,SEA,"$6,470,000",JReedSEA
Jason Myers,SEA,"$5,510,000",JMyersSEA
Jaxon Smith-Njigba,SEA,"$3,276,661",JSmith-NjigbaSEA
Jerome Baker,SEA,"$6,770,000",JBakerSEA
Jerrick Reed,SEA,"$958,700",JReedSEA
Johnathan Hankins,SEA,"$1,960,000",JHankinsSEA
Jon Rhattigan,SEA,"$2,985,000",JRhattiganSEA
Jonathan Sutherland,SEA,"$795,000",JSutherlandSEA
Josh Onujiogu,SEA,"$795,000",JOnujioguSEA
Julian Love,SEA,"$8,090,000",JLoveSEA
K'Von Wallace,SEA,"$1,500,000",KWallaceSEA
Kenneth Walker III,SEA,"$2,302,249",KWalkerSEA
Kenny McIntosh,SEA,"$937,713",KMcIntoshSEA
Kobe Lewis,SEA,"$796,666",KLewisSEA
Laken Tomlinson,SEA,"$1,210,000",LTomlinsonSEA
Lance Boykin,SEA,"$795,000",LBoykinSEA
Laviska Shenault,SEA,"$1,152,500",LShenaultSEA
Leonard Williams,SEA,"$10,400,000",LWilliamsSEA
Matthew Gotel,SEA,"$795,000",MGotelSEA
Max Pircher,SEA,"$795,000",MPircherSEA
McClendon Curtis,SEA,"$915,000",MCurtisSEA
Michael Dickson,SEA,"$3,850,000",MDicksonSEA
Michael Jackson Sr.,SEA,"$1,222,500",MJacksonSEA
Mike Jerrell,SEA,"$835,015",MJerrellSEA
Mike Morris,SEA,"$875,519",MMorrisSEA
Mike Novitsky,SEA,"$795,833",MNovitskySEA
Myles Adams,SEA,"$985,000",MAdamsSEA
Nathan Pickering,SEA,"$795,000",NPickeringSEA
Nehemiah Pritchett,SEA,"$889,768",NPritchettSEA
Nelson Ceaser,SEA,"$798,333",NCeaserSEA
Nick Harris,SEA,"$2,395,000",NHarrisSEA
Noah Fant,SEA,"$7,500,000",NFantSEA
Olusegun Oluwatimi,SEA,"$994,115",OOluwatimiSEA
Patrick O'Connell,SEA,"$915,000",PO'ConnellSEA
Pharaoh Brown,SEA,"$3,200,000",PBrownSEA
Phillip Walker,SEA,"$985,000",PWalkerSEA
Raiqwon O'Neal,SEA,"$915,000",RO'NealSEA
Rayshawn Jenkins,SEA,"$4,100,000",RJenkinsSEA
Ricky Person Jr.,SEA,"$795,000",RPersonSEA
Sam Howell,SEA,"$985,000",SHowellSEA
Sataoa Laumea,SEA,"$849,129",SLaumeaSEA
Stone Forsythe,SEA,"$1,096,656",SForsytheSEA
Sundiata Anderson,SEA,"$798,333",SAndersonSEA
Tariq Woolen,SEA,"$1,068,054",TWoolenSEA
Tre Brown,SEA,"$1,215,166",TBrownSEA
Tremayne Anchrum,SEA,"$1,155,000",TAnchrumSEA
Ty Okada,SEA,"$915,000",TOkadaSEA
Tyler Lockett,SEA,"$18,895,000",TLockettSEA
Tyler Mabry,SEA,"$915,000",TMabrySEA
Tyrel Dodson,SEA,"$4,260,000",TDodsonSEA
Tyrice Knight,SEA,"$988,140",TKnightSEA
Uchenna Nwosu,SEA,"$7,813,333",UNwosuSEA
Zach Charbonnet,SEA,"$1,562,745",ZCharbonnetSEA
