Aaron Banks,SF,"$3,742,110"
Alex Barrett,SF,"$915,000"
Ambry Thomas,SF,"$1,425,154"
Austin Bryant,SF,"$985,000"
Ben Bartch,SF,"$1,125,000"
Brandon Aiyuk,SF,"$14,124,000"
Brandon Allen,SF,"$1,540,000"
Brandon Parker,SF,"$1,010,000"
Brayden Willis,SF,"$934,975"
Briason Mays,SF,"$798,333"
Brock Purdy,SF,"$1,004,253"
Cameron Latu,SF,"$1,205,473"
Charvarius Ward,SF,"$18,401,000"
Chase Lucas,SF,"$985,000"
Chris Conley,SF,"$1,550,000"
Chris Hubbard,SF,"$1,152,500"
Christian McCaffrey,SF,"$6,682,588"
Cody Schrader,SF,"$799,000"
Colton McKivitz,SF,"$2,913,000"
Curtis Robinson,SF,"$1,055,000"
Danny Gray,SF,"$1,375,883"
Darrell Luter Jr.,SF,"$993,378"
De'Vondre Campbell,SF,"$2,200,000"
Dee Winters,SF,"$948,333"
Deebo Samuel,SF,"$28,633,765"
Demetrius Flannigan-Fowles,SF,"$1,292,500"
Deommodore Lenoir,SF,"$3,187,217"
Dominick Puni,SF,"$1,036,463"
Drake Jackson,SF,"$1,607,016"
Drake Nugent,SF,"$800,000"
Dre Greenlaw,SF,"$9,602,970"
Elijah Mitchell,SF,"$1,100,893"
Eric Saubert,SF,"$1,081,250"
Erik Harris,SF,"$985,000"
Evan Anderson,SF,"$805,000"
Fred Warner,SF,"$12,649,000"
George Kittle,SF,"$12,204,575"
George Odum,SF,"$2,551,666"
Isaac Alarcon,SF,"$795,000"
Isaac Guerendo,SF,"$971,132"
Isaac Yiadom,SF,"$1,900,000"
Jacob Cowing,SF,"$927,177"
Jake Brendel,SF,"$4,692,000"
Jake Moody,SF,"$1,205,473"
Jake Tonges,SF,"$915,000"
Jalen Graham,SF,"$934,446"
Jarrett Kingston,SF,"$829,597"
Jauan Jennings,SF,"$2,774,941"
Javon Hargrave,SF,"$9,270,882"
Jaylen Mahoney,SF,"$797,666"
Jaylon Moore,SF,"$1,135,759"
Ji'Ayir Brown,SF,"$1,226,319"
Jon Feliciano,SF,"$2,280,000"
Jordan Elliott,SF,"$2,140,000"
Jordan Mason,SF,"$988,334"
Joshua Dobbs,SF,"$2,250,000"
Kalia Davis,SF,"$1,018,003"
Kemon Hall,SF,"$985,000"
Kevin Givens,SF,"$1,192,500"
Kyle Juszczyk,SF,"$3,606,750"
Leonard Floyd,SF,"$3,418,000"
Logan Thomas,SF,"$985,000"
Maliek Collins,SF,"$8,470,588"
Malik Mustapha,SF,"$979,734"
Mason Pline,SF,"$798,333"
Mitch Wishnowsky,SF,"$2,825,000"
Nick Bosa,SF,"$14,671,000"
Nick Zakelj,SF,"$1,032,590"
Patrick Taylor,SF,"$1,055,000"
Renardo Green,SF,"$1,161,795"
Ricky Pearsall,SF,"$2,279,709"
Robert Beal Jr.,SF,"$976,245"
Rock Ya-Sin,SF,"$1,152,500"
Ronnie Bell,SF,"$934,446"
Sam Okuayinonu,SF,"$915,000"
Samuel Womack,SF,"$1,055,831"
Sebastian Gutierrez,SF,"$915,000"
Shakel Brown,SF,"$795,000"
Spencer Burford,SF,"$1,153,014"
T.Y. McGill,SF,"$985,000"
Talanoa Hufanga,SF,"$4,950,038"
Tanner Mordecai,SF,"$803,333"
Tatum Bethune,SF,"$815,452"
Tay Martin,SF,"$795,000"
Taybor Pepper,SF,"$1,299,999"
Tayler Hawkins,SF,"$795,000"
Terique Owens,SF,"$798,333"
Trent Taylor,SF,"$985,000"
Trent Williams,SF,"$31,568,542"
Yetur Gross-Matos,SF,"$3,238,000"
Zeke Turner,SF,"$1,152,500"
