A.J. Barner,SEA,"$983,777"
Abraham Lucas,SEA,"$1,470,456"
Andrew Whitaker,SEA,"$795,000"
Anthony Bradford,SEA,"$1,115,997"
Artie Burns,SEA,"$1,152,500"
Boye Mafe,SEA,"$2,335,162"
Brady Russell,SEA,"$915,000"
Byron Murphy,SEA,"$2,924,204"
Cameron Young,SEA,"$1,096,877"
Carlton Johnson,SEA,"$796,666"
Charles Cross,SEA,"$5,831,898"
Chris Stoll,SEA,"$917,166"
Christian Haynes,SEA,"$1,055,047"
Coby Bryant,SEA,"$1,186,952"
Cody White,SEA,"$915,000"
D'Wayne Eskridge,SEA,"$1,477,457"
D.J. James,SEA,"$841,108"
D.K. Metcalf,SEA,"$24,500,000"
Dareke Young,SEA,"$1,010,275"
Darrell Taylor,SEA,"$3,136,000"
Dee Williams,SEA,"$803,333"
Derick Hall,SEA,"$2,071,728"
Devere Levelston,SEA,"$796,000"
Devin Richardson,SEA,"$795,000"
Devon Witherspoon,SEA,"$7,241,171"
Drake Thomas,SEA,"$915,000"
Dre'Mont Jones,SEA,"$10,770,416"
Easop Winston,SEA,"$915,000"
Easton Gibbs,SEA,"$801,666"
Garret Greenfield,SEA,"$801,666"
Geno Smith,SEA,"$26,400,000"
George Fant,SEA,"$3,430,000"
George Holani,SEA,"$800,000"
Hayden Hatten,SEA,"$800,000"
Jack Westover,SEA,"$803,333"
Jake Bobo,SEA,"$918,333"
Jarran Reed,SEA,"$6,470,000"
Jason Myers,SEA,"$5,510,000"
Jaxon Smith-Njigba,SEA,"$3,276,661"
Jerome Baker,SEA,"$6,770,000"
Jerrick Reed,SEA,"$958,700"
Johnathan Hankins,SEA,"$1,960,000"
Jon Rhattigan,SEA,"$2,985,000"
Jonathan Sutherland,SEA,"$795,000"
Josh Onujiogu,SEA,"$795,000"
Julian Love,SEA,"$8,090,000"
K'Von Wallace,SEA,"$1,500,000"
Kenneth Walker III,SEA,"$2,302,249"
Kenny McIntosh,SEA,"$937,713"
Kobe Lewis,SEA,"$796,666"
Laken Tomlinson,SEA,"$1,210,000"
Lance Boykin,SEA,"$795,000"
Laviska Shenault,SEA,"$1,152,500"
Leonard Williams,SEA,"$10,400,000"
Matthew Gotel,SEA,"$795,000"
Max Pircher,SEA,"$795,000"
McClendon Curtis,SEA,"$915,000"
Michael Dickson,SEA,"$3,850,000"
Michael Jackson Sr.,SEA,"$1,222,500"
Mike Jerrell,SEA,"$835,015"
Mike Morris,SEA,"$875,519"
Mike Novitsky,SEA,"$795,833"
Myles Adams,SEA,"$985,000"
Nathan Pickering,SEA,"$795,000"
Nehemiah Pritchett,SEA,"$889,768"
Nelson Ceaser,SEA,"$798,333"
Nick Harris,SEA,"$2,395,000"
Noah Fant,SEA,"$7,500,000"
Olusegun Oluwatimi,SEA,"$994,115"
Patrick O'Connell,SEA,"$915,000"
Pharaoh Brown,SEA,"$3,200,000"
Phillip Walker,SEA,"$985,000"
Raiqwon O'Neal,SEA,"$915,000"
Rayshawn Jenkins,SEA,"$4,100,000"
Ricky Person Jr.,SEA,"$795,000"
Sam Howell,SEA,"$985,000"
Sataoa Laumea,SEA,"$849,129"
Stone Forsythe,SEA,"$1,096,656"
Sundiata Anderson,SEA,"$798,333"
Tariq Woolen,SEA,"$1,068,054"
Tre Brown,SEA,"$1,215,166"
Tremayne Anchrum,SEA,"$1,155,000"
Ty Okada,SEA,"$915,000"
Tyler Lockett,SEA,"$18,895,000"
Tyler Mabry,SEA,"$915,000"
Tyrel Dodson,SEA,"$4,260,000"
Tyrice Knight,SEA,"$988,140"
Uchenna Nwosu,SEA,"$7,813,333"
Zach Charbonnet,SEA,"$1,562,745"
