Andrew Hayes,TB,"$795,333"
Anthony Nelson,TB,"$5,384,000"
"Antoine Winfield, Jr.",TB,"$8,000,000"
Antonio Grier,TB,"$796,000"
Avery Jones,TB,"$796,666"
Baker Mayfield,TB,"$6,900,000"
Ben Bredeson,TB,"$2,980,000"
Brandon Walton,TB,"$985,000"
Bryce Hall,TB,"$985,000"
Bucky Irving,TB,"$977,888"
C.J. Brewer,TB,"$795,000"
Cade Otton,TB,"$1,193,485"
Calijah Kancey,TB,"$3,293,971"
Cephus Johnson,TB,"$795,000"
Chase Edmonds,TB,"$1,500,000"
Chase McLaughlin,TB,"$5,000,000"
Chris Braswell,TB,"$1,233,672"
Chris Godwin,TB,"$27,534,000"
Chris McDonald,TB,"$801,666"
Christian Izien,TB,"$918,333"
Cody Mauch,TB,"$1,701,243"
Cody Thompson,TB,"$985,000"
D.J. Williams,TB,"$798,333"
Daniel Grzesiak,TB,"$796,000"
David Wells,TB,"$985,000"
Devin Culp,TB,"$816,546"
Earnest Brown IV,TB,"$985,000"
Elijah Klein,TB,"$829,597"
Eric Banks,TB,"$985,000"
Evan Deckers,TB,"$795,000"
Graham Barton,TB,"$2,550,446"
Greg Gaines,TB,"$3,975,000"
Iosua Opeta,TB,"$1,375,000"
J.J. Russell,TB,"$985,000"
Jake Camarda,TB,"$1,155,079"
Jalen McMillan,TB,"$1,029,641"
Jamel Dean,TB,"$14,666,353"
Joe Tryon-Shoyinka,TB,"$3,554,487"
John Wolford,TB,"$1,152,500"
Jordan Whitehead,TB,"$4,500,000"
Jose Ramirez,TB,"$795,000"
Josh Hayes,TB,"$966,094"
Judge Culpepper,TB,"$803,333"
Justin Skule,TB,"$1,255,000"
K.J. Britt,TB,"$1,121,574"
Kaevon Merriweather,TB,"$920,000"
Kalen DeLoach,TB,"$803,333"
Kameron Johnson,TB,"$798,333"
Keenan Isaac,TB,"$915,000"
Ko Kieft,TB,"$1,018,003"
Kyle Trask,TB,"$1,761,243"
Latreal Jones,TB,"$796,666"
Lavonte David,TB,"$8,500,000"
Logan Hall,TB,"$2,540,851"
Lorenz Metz,TB,"$795,000"
Luke Goedeke,TB,"$1,685,178"
Luke Haggard,TB,"$795,000"
Lwal Uguak,TB,"$795,000"
Marcus Banks,TB,"$802,666"
Markees Watts,TB,"$915,333"
Mike Evans,TB,"$5,568,000"
Mike Greene,TB,"$915,000"
Payne Durham,TB,"$976,245"
Rachaad White,TB,"$1,399,091"
Rakim Jarrett,TB,"$923,333"
Raleigh Webb,TB,"$915,000"
Ramon Jefferson,TB,"$795,333"
Randy Gregory,TB,"$2,970,000"
Rashad Wisdom,TB,"$798,333"
Robert Hainsey,TB,"$3,329,886"
Ryan Miller,TB,"$795,000"
Sean Tucker,TB,"$916,666"
Shaun Peterson Jr.,TB,"$795,666"
Silas Dzansi,TB,"$795,000"
SirVocea Dennis,TB,"$994,332"
Sterling Shepard,TB,"$1,152,500"
Tanner Knue,TB,"$796,666"
Tanner Taula,TB,"$795,000"
Tavierre Thomas,TB,"$1,441,176"
Trey Palmer,TB,"$959,824"
Tristan Wirfs,TB,"$18,606,582"
Tykee Smith,TB,"$1,034,003"
Tyrek Funderburk,TB,"$801,666"
Vi Jones,TB,"$915,000"
Vita Vea,TB,"$20,965,063"
William Gholston,TB,"$1,152,500"
Xavier Delgado,TB,"$797,666"
YaYa Diaby,TB,"$1,242,139"
Zach Triner,TB,"$1,152,500"
Zack Annexstad,TB,"$796,000"
Zyon McCollum,TB,"$1,065,433"
