A.J. Woods,WAS,"$800,000"
Alex Akingbulu,WAS,"$915,000"
Andre Jones Jr.,WAS,"$940,068"
Andrew Wylie,WAS,"$9,416,666"
Anthony Pittman,WAS,"$1,105,000"
Armani Rogers,WAS,"$990,834"
Austin Ekeler,WAS,"$3,355,000"
Austin Jones,WAS,"$797,333"
Ben Nikkel,WAS,"$798,333"
Ben Sinnott,WAS,"$1,314,173"
Benjamin St-Juste,WAS,"$3,383,410"
Benning Potoa'e,WAS,"$915,000"
Bo Bauer,WAS,"$795,000"
Bobby Wagner,WAS,"$6,500,000"
Braeden Daniels,WAS,"$983,613"
Brandon Coleman,WAS,"$1,101,495"
Brian Robinson Jr.,WAS,"$1,375,883"
Brycen Tremayne,WAS,"$795,000"
Chigozie Anusiem,WAS,"$811,666"
Chris Paul,WAS,"$1,011,112"
Chris Rodriguez Jr.,WAS,"$959,423"
Christian Holmes,WAS,"$1,008,470"
Clelin Ferrell,WAS,"$3,750,000"
Cole Turner,WAS,"$1,069,720"
Colson Yankoff,WAS,"$798,333"
Cornelius Lucas,WAS,"$2,800,000"
Damiere Byrd,WAS,"$985,000"
Dante Fowler Jr.,WAS,"$3,250,000"
Daron Payne,WAS,"$21,610,000"
Darrick Forrest,WAS,"$3,193,769"
David Nwaogwugwu,WAS,"$795,833"
Davion Davis,WAS,"$985,000"
Dax Milne,WAS,"$1,074,316"
Dominique Hampton,WAS,"$873,321"
Dorance Armstrong Jr.,WAS,"$5,135,000"
Dyami Brown,WAS,"$1,573,090"
Efe Obada,WAS,"$1,035,000"
Emmanuel Forbes,WAS,"$3,501,720"
Frankie Luvu,WAS,"$3,865,000"
Haggai Chisom Ndubuisi,WAS,"$795,000"
Jahan Dotson,WAS,"$4,104,097"
Jalen Harris,WAS,"$915,000"
James Pierre,WAS,"$1,148,000"
Jamin Davis,WAS,"$4,389,056"
Jamison Crowder,WAS,"$1,035,000"
Javontae Jean-Baptiste,WAS,"$825,297"
Jayden Daniels,WAS,"$6,863,027"
Jeff Driskel,WAS,"$985,000"
Jer'Zhan Newton,WAS,"$1,774,180"
Jeremy Chinn,WAS,"$3,955,000"
Jeremy McNichols,WAS,"$985,000"
Jeremy Reaves,WAS,"$2,125,000"
John Bates,WAS,"$3,296,604"
John Ridgeway,WAS,"$985,000"
Jonathan Allen,WAS,"$21,441,176"
Jordan Magee,WAS,"$887,807"
Julian Good-Jones,WAS,"$915,000"
K.J. Henry,WAS,"$1,004,815"
Kazmeir Allen,WAS,"$795,000"
Keandre Jones,WAS,"$915,000"
Kyu Blu Kelly,WAS,"$915,000"
Luke McCaffrey,WAS,"$1,017,511"
Marcus Mariota,WAS,"$6,000,000"
Marcus Rosemy-Jacksaint,WAS,"$800,000"
Mason Brooks,WAS,"$795,000"
Michael Davis,WAS,"$3,575,000"
Michael Deiter,WAS,"$1,785,000"
Michael Wiley,WAS,"$803,333"
Mike Sainristil,WAS,"$1,400,425"
Mitchell Tinsley,WAS,"$920,000"
Mykal Walker,WAS,"$985,000"
Nick Allegretti,WAS,"$2,798,000"
Nick Whiteside,WAS,"$795,000"
Noah Igbinoghene,WAS,"$1,152,500"
Norell Pollard,WAS,"$796,666"
Olamide Zaccheaus,WAS,"$1,152,500"
Percy Butler,WAS,"$1,182,255"
Phidarian Mathis,WAS,"$2,047,194"
Quan Martin,WAS,"$1,735,869"
Ramiz Ahmed,WAS,"$795,000"
Ricky Stromberg,WAS,"$1,205,473"
Sam Hartman,WAS,"$801,666"
Samuel Cosmi,WAS,"$3,660,649"
Tariq Castro-Fields,WAS,"$985,000"
Terry McLaurin,WAS,"$24,100,000"
Trenton Scott,WAS,"$1,427,500"
Tress Way,WAS,"$3,750,000"
Tyler Biadasz,WAS,"$4,385,294"
Tyler Ott,WAS,"$1,418,333"
Tyler Owens,WAS,"$801,666"
Zach Ertz,WAS,"$2,411,765"
