Josh Allen,BUF,Buffalo Bills,"$47,056,281"
Stefon Diggs,BUF,Buffalo Bills,"$27,854,000"
Von Miller,BUF,Buffalo Bills,"$23,799,000"
Dion Dawkins,BUF,Buffalo Bills,"$16,609,833"
Tre'Davious White,BUF,Buffalo Bills,"$16,443,740"
Dawson Knox,BUF,Buffalo Bills,"$14,300,000"
Matt Milano,BUF,Buffalo Bills,"$12,437,000"
Taron Johnson,BUF,Buffalo Bills,"$12,409,833"
Mitch Morse,BUF,Buffalo Bills,"$11,500,000"
Rasul Douglas,BUF,Buffalo Bills,"$9,973,529"
Ed Oliver,BUF,Buffalo Bills,"$9,725,000"
Connor McGovern,BUF,Buffalo Bills,"$7,900,000"
Jordan Poyer,BUF,Buffalo Bills,"$7,720,000"
Deonte Harty,BUF,Buffalo Bills,"$5,709,500"
Ryan Bates,BUF,Buffalo Bills,"$5,439,000"
Nyheim Hines,BUF,Buffalo Bills,"$5,160,000"
Tyler Bass,BUF,Buffalo Bills,"$4,420,000"
Leonard Floyd,BUF,Buffalo Bills,"$4,376,250"
Kaiir Elam,BUF,Buffalo Bills,"$3,733,858"
Gregory Rousseau,BUF,Buffalo Bills,"$3,693,515"
Siran Neal,BUF,Buffalo Bills,"$3,413,334"
Micah Hyde,BUF,Buffalo Bills,"$3,408,000"
Dalton Kincaid,BUF,Buffalo Bills,"$3,051,600"
Reggie Gilliam,BUF,Buffalo Bills,"$2,232,334"
Sam Martin,BUF,Buffalo Bills,"$2,150,000"
DaQuan Jones,BUF,Buffalo Bills,"$1,833,334"
James Cook,BUF,Buffalo Bills,"$1,590,563"
Spencer Brown,BUF,Buffalo Bills,"$1,511,736"
O'Cyrus Torrence,BUF,Buffalo Bills,"$1,413,859"
Terrel Bernard,BUF,Buffalo Bills,"$1,399,872"
Tim Settle,BUF,Buffalo Bills,"$1,350,000"
Dorian Williams,BUF,Buffalo Bills,"$1,223,365"
Reid Ferguson,BUF,Buffalo Bills,"$1,212,500"
Tommy Doyle,BUF,Buffalo Bills,"$1,133,933"
Damar Hamlin,BUF,Buffalo Bills,"$1,095,119"
Khalil Shakir,BUF,Buffalo Bills,"$1,071,788"
Tre' McKitty,BUF,Buffalo Bills,"$1,059,000"
Darrynton Evans,BUF,Buffalo Bills,"$1,055,000"
K.J. Hamler,BUF,Buffalo Bills,"$1,055,000"
Christian Benford,BUF,Buffalo Bills,"$1,033,570"
Shane Buechele,BUF,Buffalo Bills,"$1,025,000"
Baylon Spector,BUF,Buffalo Bills,"$1,010,932"
Justin Shorter,BUF,Buffalo Bills,"$995,987"
Kyron Brown,BUF,Buffalo Bills,"$994,000"
Andy Isabella,BUF,Buffalo Bills,"$993,000"
Eli Ankou,BUF,Buffalo Bills,"$992,500"
Kingsley Jonathan,BUF,Buffalo Bills,"$986,750"
Ryan Van Demark,BUF,Buffalo Bills,"$919,500"
Kameron Cline,BUF,Buffalo Bills,"$919,500"
Alec Anderson,BUF,Buffalo Bills,"$919,250"
Ja'Marcus Ingram,BUF,Buffalo Bills,"$918,750"
Richard Gouraige,BUF,Buffalo Bills,"$799,500"
Kevin Jarvis,BUF,Buffalo Bills,"$799,500"
Tyrell Shavers,BUF,Buffalo Bills,"$799,500"
Bryan Thompson,BUF,Buffalo Bills,"$799,500"
Zach Davidson,BUF,Buffalo Bills,"$799,500"
Kendall Williamson,BUF,Buffalo Bills,"$797,500"
Tyler Matakevich,BUF,Buffalo Bills,"$667,500"
