Trent Williams,SF,San Francisco 49Ers,"$31,568,542"
Deebo Samuel,SF,San Francisco 49Ers,"$28,633,765"
Charvarius Ward,SF,San Francisco 49Ers,"$18,401,000"
Nick Bosa,SF,San Francisco 49Ers,"$14,671,000"
Brandon Aiyuk,SF,San Francisco 49Ers,"$14,124,000"
Fred Warner,SF,San Francisco 49Ers,"$12,649,000"
George Kittle,SF,San Francisco 49Ers,"$12,204,575"
Dre Greenlaw,SF,San Francisco 49Ers,"$9,602,970"
Javon Hargrave,SF,San Francisco 49Ers,"$9,270,882"
Maliek Collins,SF,San Francisco 49Ers,"$8,470,588"
Christian McCaffrey,SF,San Francisco 49Ers,"$6,682,588"
Talanoa Hufanga,SF,San Francisco 49Ers,"$4,950,038"
Jake Brendel,SF,San Francisco 49Ers,"$4,692,000"
Aaron Banks,SF,San Francisco 49Ers,"$3,742,110"
Kyle Juszczyk,SF,San Francisco 49Ers,"$3,606,750"
Leonard Floyd,SF,San Francisco 49Ers,"$3,418,000"
Yetur Gross-Matos,SF,San Francisco 49Ers,"$3,238,000"
Deommodore Lenoir,SF,San Francisco 49Ers,"$3,187,217"
Colton McKivitz,SF,San Francisco 49Ers,"$2,913,000"
Mitch Wishnowsky,SF,San Francisco 49Ers,"$2,825,000"
Jauan Jennings,SF,San Francisco 49Ers,"$2,774,941"
George Odum,SF,San Francisco 49Ers,"$2,551,666"
Jon Feliciano,SF,San Francisco 49Ers,"$2,280,000"
Joshua Dobbs,SF,San Francisco 49Ers,"$2,250,000"
De'Vondre Campbell,SF,San Francisco 49Ers,"$2,200,000"
Jordan Elliott,SF,San Francisco 49Ers,"$2,140,000"
Isaac Yiadom,SF,San Francisco 49Ers,"$1,900,000"
Drake Jackson,SF,San Francisco 49Ers,"$1,607,016"
Chris Conley,SF,San Francisco 49Ers,"$1,550,000"
Brandon Allen,SF,San Francisco 49Ers,"$1,540,000"
Ambry Thomas,SF,San Francisco 49Ers,"$1,425,154"
Danny Gray,SF,San Francisco 49Ers,"$1,375,883"
Taybor Pepper,SF,San Francisco 49Ers,"$1,299,999"
Demetrius Flannigan-Fowles,SF,San Francisco 49Ers,"$1,292,500"
Ji'Ayir Brown,SF,San Francisco 49Ers,"$1,226,319"
Cameron Latu,SF,San Francisco 49Ers,"$1,205,473"
Jake Moody,SF,San Francisco 49Ers,"$1,205,473"
Kevin Givens,SF,San Francisco 49Ers,"$1,192,500"
