Trent Williams,SF,San Francisco 49Ers,"$31,568,542"
Deebo Samuel,SF,San Francisco 49Ers,"$28,633,765"
Arik Armstead,SF,San Francisco 49Ers,"$28,353,236"
Fred Warner,SF,San Francisco 49Ers,"$24,469,000"
George Kittle,SF,San Francisco 49Ers,"$21,956,575"
Charvarius Ward,SF,San Francisco 49Ers,"$18,401,000"
Javon Hargrave,SF,San Francisco 49Ers,"$15,430,882"
Nick Bosa,SF,San Francisco 49Ers,"$14,671,000"
Christian McCaffrey,SF,San Francisco 49Ers,"$14,144,000"
Brandon Aiyuk,SF,San Francisco 49Ers,"$14,124,000"
Dre Greenlaw,SF,San Francisco 49Ers,"$9,602,970"
Kyle Juszczyk,SF,San Francisco 49Ers,"$7,588,750"
Jake Brendel,SF,San Francisco 49Ers,"$4,692,000"
Isaiah Oliver,SF,San Francisco 49Ers,"$3,866,000"
Colton McKivitz,SF,San Francisco 49Ers,"$3,641,000"
Mitch Wishnowsky,SF,San Francisco 49Ers,"$2,825,000"
Aaron Banks,SF,San Francisco 49Ers,"$2,250,694"
George Odum,SF,San Francisco 49Ers,"$1,625,000"
Drake Jackson,SF,San Francisco 49Ers,"$1,607,016"
Ambry Thomas,SF,San Francisco 49Ers,"$1,425,154"
Danny Gray,SF,San Francisco 49Ers,"$1,375,883"
Taybor Pepper,SF,San Francisco 49Ers,"$1,299,000"
Ji'Ayir Brown,SF,San Francisco 49Ers,"$1,226,319"
Jake Moody,SF,San Francisco 49Ers,"$1,205,473"
Cameron Latu,SF,San Francisco 49Ers,"$1,205,473"
Spencer Burford,SF,San Francisco 49Ers,"$1,153,014"
Jaylon Moore,SF,San Francisco 49Ers,"$1,135,759"
Deommodore Lenoir,SF,San Francisco 49Ers,"$1,126,217"
Talanoa Hufanga,SF,San Francisco 49Ers,"$1,115,038"
Elijah Mitchell,SF,San Francisco 49Ers,"$1,100,893"
Samuel Womack,SF,San Francisco 49Ers,"$1,055,831"
Nick Zakelj,SF,San Francisco 49Ers,"$1,032,590"
Kalia Davis,SF,San Francisco 49Ers,"$1,018,003"
Brock Purdy,SF,San Francisco 49Ers,"$1,004,253"
Darrell Luter Jr.,SF,San Francisco 49Ers,"$993,378"
Jordan Mason,SF,San Francisco 49Ers,"$988,334"
Robert Beal Jr.,SF,San Francisco 49Ers,"$976,245"
Dee Winters,SF,San Francisco 49Ers,"$948,333"
Brayden Willis,SF,San Francisco 49Ers,"$934,975"
Ronnie Bell,SF,San Francisco 49Ers,"$934,446"
Jalen Graham,SF,San Francisco 49Ers,"$934,446"
Oren Burks,SF,San Francisco 49Ers,"$819,000"
Tashaun Gipson,SF,San Francisco 49Ers,"$800,000"
Isaac Alarcon,SF,San Francisco 49Ers,"$795,000"
Randy Gregory,SF,San Francisco 49Ers,$0
